Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Total Patents,IPqwery - Total Trademarks,Investment Stage
BeachMint,https://www.crunchbase.com/organization/beachmint,"E-Commerce, Fashion, Jewelry","Santa Monica, California, United States","BeachMint is an e-commerce platform providing fashionable clothing, jewelry, footwear, beauty products, and home appliances.","17,978",,2010-01-01,year,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",2,51-100,4,74675009,USD,74675009,11,Private,,,,4,,2012-01-01,36175009,USD,36175009,Venture - Series Unknown,0,13,
Speakr,https://www.crunchbase.com/organization/twtmob,"Advertising, Apps, Brand Marketing, Digital Media, Internet, Media and Entertainment, Social Media, Social Media Marketing, Social Network","Los Angeles, California, United States",Influencer Marketing and Talent Management Enterprise Platform,"17,984",$1M to $10M,2010-04-16,day,"Advertising, Apps, Internet Services, Media and Entertainment, Sales and Marketing, Software",1,11-50,4,4530000,USD,4530000,12,Private,,,,2,Seed,2016-09-09,700000,USD,700000,Debt Financing,0,1,
True Zero,https://www.crunchbase.com/organization/true-zero,"Environmental Consulting, Fuel, Fuel Cell, Renewable Energy","Irvine, California, United States","True Zero is revolutionizing clean, efficient automotive transportation","18,001",$1M to $10M,2014-01-01,year,"Energy, Professional Services, Sustainability",2,11-50,1,26600000,USD,26600000,1,Private,,,,1,,2017-11-14,26600000,USD,26600000,Grant,,,
JetPack Aviation,https://www.crunchbase.com/organization/jetpack-aviation,"Aerospace, Air Transportation, Automotive","Los Angeles, California, United States",JetPack Aviation has created the world's first true jetpack.,"18,005",$1M to $10M,2016-01-01,year,"Science and Engineering, Transportation",1,1-10,3,2399360,USD,2399360,5,Private,,,,2,Seed,2019-11-13,2000000,USD,2000000,Seed,,,
TRIPP,https://www.crunchbase.com/organization/tripp,"Computer, Developer Platform, Gaming","Los Angeles, California, United States","The Right Combination of Design, Development and Science.","18,023",,2017-01-01,year,"Consumer Electronics, Gaming, Hardware, Software",2,,1,4000000,USD,4000000,1,Private,,,,1,Early Stage Venture,2017-09-28,4000000,USD,4000000,Series A,1,1,
b spot,https://www.crunchbase.com/organization/b-spot,"Gambling, Internet, Mobile","Los Angeles, California, United States","bspot offers a community-based platform that enables players to play online games, bet, and win cash.","18,040",$1M to $10M,2012-01-01,year,"Gaming, Internet Services, Mobile",2,11-50,4,16000000,USD,16000000,1,Private,,,,,Seed,2014-11-30,7800000,USD,7800000,Convertible Note,34,5,
BeeFlow,https://www.crunchbase.com/organization/beeflow,"Agriculture, Biotechnology, Natural Resources, Sustainability","Los Angeles, California, United States",BeeFlow develops smart and strong bees for crop pollination. ,"18,121",,2004-01-01,year,"Agriculture and Farming, Biotechnology, Natural Resources, Science and Engineering, Sustainability",2,1-10,3,3450000,USD,3450000,4,Private,,,1,2,Seed,2019-06-07,3000000,USD,3000000,Seed,,,
Kyoku,https://www.crunchbase.com/organization/kyoku,"Consumer Goods, Dietary Supplements, Fitness, Food and Beverage, Personal Health","Santa Monica, California, United States",Personalized active nutrition. Made from plant-based superfoods.,"18,160",,2018-04-03,day,"Consumer Goods, Food and Beverage, Health Care, Sports",2,1-10,2,1200000,USD,1200000,1,Private,,,,1,Seed,2019-08-01,1100000,USD,1100000,Pre-Seed,0,2,
Bitcentral,https://www.crunchbase.com/organization/bitcentral,"Asset Management, Broadcasting, Digital Media, Mobile Apps, Software, Video, Video Editing","Newport Beach, California, United States",Bitcentral is a software company that provides solutions to streamline media operations and maximize the value of video content.,"18,184",$1M to $10M,2000-01-01,year,"Apps, Content and Publishing, Financial Services, Media and Entertainment, Mobile, Software, Video",1,51-100,2,14500000,USD,14500000,3,Private,,,2,2,Private Equity,2019-03-22,10000000,USD,10000000,Private Equity,2,7,
tonebase,https://www.crunchbase.com/organization/tonebase,"Education, Internet, Music","Los Angeles, California, United States",tonebase gives you access to educational content produced by the world's greatest musicians and music educators.,"18,211",,2017-05-20,day,"Education, Internet Services, Media and Entertainment, Music and Audio",3,1-10,4,2950000,USD,2950000,5,Private,,,,3,Seed,2019-07-01,2500000,USD,2500000,Seed,0,1,
LegalMation,https://www.crunchbase.com/organization/legalmation,"Artificial Intelligence, Information Technology, Legal, Legal Tech, Software","Los Angeles, California, United States",LegalMation is an AI technology company that provides tools to help attorneys and legal professionals automate routine litigation tasks.,"18,388",,2016-01-01,year,"Artificial Intelligence, Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",3,11-50,2,3467000,USD,3467000,2,Private,,,,1,,2019-10-23,,,,Venture - Series Unknown,0,2,
Basepaws,https://www.crunchbase.com/organization/basepaws,"Biotechnology, Consumer, Pet","El Segundo, California, United States",Pet genetics & health monitoring.,"18,403",Less than $1M,2016-01-01,year,"Biotechnology, Community and Lifestyle, Science and Engineering",3,1-10,4,251000,USD,251000,3,Private,,,,,Seed,2020-01-05,,,,Seed,0,1,
Fermented Sciences,https://www.crunchbase.com/organization/fermented-sciences,"Brewing, Food and Beverage, Organic, Wine And Spirits","Ojai, California, United States",Fermented Sciences makes handcrafted organic hard kombucha products with probiotics and botanical adaptogens.,"18,406",,2016-01-01,year,"Food and Beverage, Sustainability",2,11-50,1,25000000,USD,25000000,4,Private,,,,2,Early Stage Venture,2019-11-20,25000000,USD,25000000,Series B,0,1,
Paragon,https://www.crunchbase.com/organization/paragon-853c,"Data Center Automation, Data Integration, Developer APIs, Productivity Tools","Los Angeles, California, United States",Paragon is a platform that enables teams to visually build production-ready APIs and microservices.,"18,423",,2019-01-01,year,"Data and Analytics, Hardware, Information Technology, Software",2,1-10,1,150000,USD,150000,1,Private,,,,1,Seed,2020-03-16,150000,USD,150000,Pre-Seed,,,
Network Next,https://www.crunchbase.com/organization/network-next,"Augmented Reality, Internet, Video Chat, Video Conferencing, Video Games, Virtual Reality","Santa Monica, California, United States",Making the internet better for games,"18,426",,2017-08-08,day,"Gaming, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software",4,1-10,4,4455000,USD,4455000,9,Private,,,,1,Seed,2019-01-23,3200000,USD,3200000,Seed,1,13,
HauteLook,https://www.crunchbase.com/organization/hautelook,"E-Commerce, Fashion, Shopping","Los Angeles, California, United States",HauteLook is a members-only shopping website offering limited-time sale events with top fashion and lifestyle brands.,"18,446",,2007-12-01,day,"Clothing and Apparel, Commerce and Shopping, Design",3,251-500,2,41000000,USD,41000000,4,Private,,Was Acquired,,1,M&A,2010-06-03,31000000,USD,31000000,Series C,,,
Spotlite,https://www.crunchbase.com/organization/spotlite-c774,"Mobile Apps, Music","Los Angeles, California, United States",Spotlite offers a direct to fan app that caters to the artist.,"18,457",$1M to $10M,2017-01-01,year,"Apps, Media and Entertainment, Mobile, Music and Audio, Software",,11-50,1,10000000,USD,10000000,1,Private,,,,1,,2017-12-15,10000000,USD,10000000,Venture - Series Unknown,0,1,
TherOx,https://www.crunchbase.com/organization/therox,"Health Care, Medical, Medical Device","Irvine, California, United States",TherOx is a medical device company dedicated to elevate the standard of care for heart attack patients.,"18,523",,1994-01-01,year,Health Care,2,11-50,6,57075746,USD,57075746,5,Delisted,2008-09-04,Was Acquired,,2,M&A,2018-05-07,,,,Post-IPO Debt,14,11,
Gamblit Gaming,https://www.crunchbase.com/organization/gamblit-gaming,"Information Technology, Internet, Video Games","Glendale, California, United States","Gamblit Gaming is the leading technology provider in the emerging interactive entertainment meets gambling space, enabling a wide range of","18,540",$1M to $10M,2010-01-01,year,"Gaming, Information Technology, Internet Services",1,51-100,2,37000000,USD,37000000,1,Private,,,,1,,2017-05-10,25000000,USD,25000000,Venture - Series Unknown,474,55,
Ozone.AI,https://www.crunchbase.com/organization/ozone-ai,,"Los Angeles, California, United States","Personal Data Privacy — Sync, secure and sell personal data in just a few clicks, without compromising privacy or anonymity.","18,577",,2019-05-01,month,,,1-10,2,400000,USD,400000,2,Private,,,,2,,2019-12-18,400000,USD,400000,Venture - Series Unknown,0,1,
Landline,https://www.crunchbase.com/organization/landline,Transportation,"Santa Monica, California, United States",Landline enables airlines to offer their customers seamless connections to ground transportation.,"18,602",,2018-06-01,month,Transportation,2,11-50,1,3850000,USD,3850000,4,Private,,,,1,Seed,2019-09-21,3850000,USD,3850000,Seed,0,2,
Podcorn,https://www.crunchbase.com/organization/podcorn,,"Los Angeles, California, United States",Podcorn is a  pain out of finding and sponsoring on-demand audio shows.,"18,614",,2019-01-01,year,,2,,1,2200000,USD,2200000,11,Private,,,,1,Seed,2019-08-20,2200000,USD,2200000,Seed,0,1,
SafeRide Health,https://www.crunchbase.com/organization/saferide,"Health Care, Transportation","Culver City, California, United States",SafeRide is a platform that allows care providers to book non-emergency medical transport (NEMT) for their patients,"18,629",,2015-04-01,month,"Health Care, Transportation",3,11-50,3,2750001,USD,2750001,6,Private,,,,3,Early Stage Venture,2019-02-20,,,,Series A,,,
Praedicat,https://www.crunchbase.com/organization/praedicat,"Information Technology, Management Information Systems, Software","Los Angeles, California, United States",Praedicat improves the underwriting and management of liability catastrophe risk by providing science-based risk analytics.,"18,635",$1M to $10M,2011-01-01,year,"Information Technology, Software",1,11-50,2,12000000,USD,12000000,,Private,,,,,,2013-08-20,4000000,USD,4000000,Venture - Series Unknown,5,12,
Aircam,https://www.crunchbase.com/organization/aircam,"Event Management, Events","Santa Monica, California, United States",Aircam delivers event photos in real-time so you can put down your phone.,"18,659",,2017-01-04,day,"Events, Media and Entertainment",2,,1,6500000,USD,6500000,2,Private,,,,1,Seed,2019-11-07,6500000,USD,6500000,Seed,6,1,
dataPlor,https://www.crunchbase.com/organization/dataplor-chapa-inc,"Big Data, Emerging Markets, Location Based Services","Los Angeles, California, United States",dataPlor connects global companies to micro-businesses in growing economies,"18,691",$1M to $10M,2016-01-01,month,"Data and Analytics, Internet Services, Navigation and Mapping",1,11-50,2,2765000,USD,2765000,5,Private,,,3,2,Seed,2019-07-24,2000000,USD,2000000,Seed,,,
ImaginAb,https://www.crunchbase.com/organization/imaginab,"Biotechnology, Clinical Trials, Health Care, Health Diagnostics","Inglewood, California, United States",ImaginAb clinically manages cancer and autoimmune diseases via molecular imaging by re-engineering antibodies into small proteins.,"18,704",$1M to $10M,2007-01-01,year,"Biotechnology, Health Care, Science and Engineering",3,11-50,4,46841245,USD,46841245,8,Private,,,,3,,2017-09-14,8000000,USD,8000000,Venture - Series Unknown,12,0,
Osi Systems,https://www.crunchbase.com/organization/osi-systems,"Hardware, Health Diagnostics, Software","Hawthorne, California, United States",OSI Systems is a vertically integrated designer and manufacturer of specialized electronic systems and components for critical applications.,"18,721",$100M to $500M,1987-01-01,year,"Hardware, Health Care, Software",1,5001-10000,2,15000000,USD,15000000,,Public,1997-10-02,Made Acquisitions,,,IPO,2019-04-08,10000000,USD,10000000,Post-IPO Equity,,,
Rooam,https://www.crunchbase.com/organization/rooam,"Hospitality, Mobile Payments, Social Network","Los Angeles, California, United States",A mobile-pay solution for the hospitality and entertainment industry,"18,724",$1M to $10M,2015-01-01,year,"Financial Services, Internet Services, Mobile, Payments, Software, Travel and Tourism",1,11-50,2,3300000,USD,3300000,,Private,,Made Acquisitions,,,Seed,2017-07-01,2100000,USD,2100000,Seed,,,
Exactuals,https://www.crunchbase.com/organization/exactuals,"Payments, SaaS","Los Angeles, California, United States",Exactuals is a SaaS payments company that focuses on royalty/residual based markets.,"18,727",,2011-07-01,day,"Financial Services, Payments, Software",1,11-50,2,20600000,USD,20600000,11,Private,,Was Acquired,,3,M&A,2017-02-15,10600000,USD,10600000,Series B,0,5,
left,https://www.crunchbase.com/organization/left-95f9,"Analytics, B2B, Business Travel, Data Storage, Database, Information Technology, Mobile Apps, Software, Travel, Web Apps","Los Angeles, California, United States",left is an end to end management software for Group Travel Organizations and coordinators.,"18,745",,2016-09-01,month,"Apps, Data and Analytics, Hardware, Information Technology, Mobile, Software, Travel and Tourism",2,1-10,3,650000,USD,650000,5,Private,,,,,Seed,2020-03-02,,,,Pre-Seed,,,
Shippabo,https://www.crunchbase.com/organization/shippabo-2,"E-Commerce, Enterprise Applications, SaaS, Shipping, Transportation","Los Angeles, California, United States",Shippabo is an ocean freight booking & managing application that provide shippers better visibility & automation,"18,762",Less than $1M,2015-01-01,year,"Apps, Commerce and Shopping, Software, Transportation",3,11-50,3,950000,USD,950000,9,Private,,,,1,Seed,2017-10-15,100000,USD,100000,Angel,,,
MediaPlatform,https://www.crunchbase.com/organization/mediaplatform,"Enterprise Software, Mobile, Software, Video, Video Streaming","Beverly Hills, California, United States",MediaPlatform is an enterprise video platform and live streaming solution for internal communications and training across all industries.,"18,775",,2005-01-01,year,"Content and Publishing, Media and Entertainment, Mobile, Software, Video",2,11-50,5,25750000,USD,25750000,6,Private,,Was Acquired,1,2,M&A,2015-08-05,12000000,USD,12000000,Private Equity,5,1,
MannKind Corporation,https://www.crunchbase.com/organization/mannkind-corporation,"Biotechnology, Health Care, Pharmaceutical","Valencia, California, United States",MannKind Corporation focuses on the discovery and development of therapeutic products for patients with diseases such as diabetes.,"18,792",$10M to $50M,2001-01-01,year,"Biotechnology, Health Care, Science and Engineering",,501-1000,2,200000000,USD,200000000,2,Public,2004-08-06,,,1,IPO,2013-08-16,40000000,USD,40000000,Post-IPO Debt,300,49,
Behavioral Signals,https://www.crunchbase.com/organization/behavioral-signal-technologies-inc,"Analytics, Artificial Intelligence, Enterprise Software, Health Care, Machine Learning, Natural Language Processing, Predictive Analytics, Real Time, Robotics, Speech Recognition, Virtual Assistant","Los Angeles, California, United States",Developing Emotionally Intelligent Conversations with AI. Oliver API is the fastest evolving robust emotion AI engine,"18,816",,2016-06-14,day,"Artificial Intelligence, Data and Analytics, Hardware, Health Care, Science and Engineering, Software",3,11-50,1,1500000,USD,1500000,1,Private,,,,,Early Stage Venture,2016-12-23,1500000,USD,1500000,Series A,1,0,
RevolutionCredit,https://www.crunchbase.com/organization/revolutioncredit,"Consumer, Credit, Finance","Irvine, California, United States",RevolutionCredit is an engagement platform that helps lenders and consumers with the credit decisioning process.,"18,842",,2012-01-01,year,"Financial Services, Lending and Investments",1,11-50,1,9655354,USD,9655354,12,Private,,,1,1,Seed,2017-08-25,9655354,USD,9655354,Seed,0,8,
Toonstar,https://www.crunchbase.com/organization/toonstar,"Advertising, Marketing, Social Media","Los Angeles, California, United States",The nextgen animation network made for a mobile world.,"18,843",,2015-01-01,year,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing",2,11-50,2,3000000,USD,3000000,9,Private,,,,1,Seed,2018-11-01,2000000,USD,2000000,Seed,,,
Tarsus Pharmaceuticals,https://www.crunchbase.com/organization/tarsus-pharmaceuticals,"Biopharma, Biotechnology, Life Science","Irvine, California, United States",Tarsus Pharmaceuticals is a clinical-stage biopharmaceutical company.,"18,846",,2017-01-01,year,"Biotechnology, Health Care, Science and Engineering",,,1,60000000,USD,60000000,6,Private,,,,1,Early Stage Venture,2020-01-08,60000000,USD,60000000,Series B,1,2,
Ivideon,https://www.crunchbase.com/organization/ivideon,"Cloud Infrastructure, Cloud Security, Internet of Things, SaaS, Security, Software, Video, Video Streaming","Costa Mesa, California, United States",Cloud Video Surveillance (VSaaS),"18,850",Less than $1M,2010-04-01,day,"Content and Publishing, Hardware, Information Technology, Internet Services, Media and Entertainment, Privacy and Security, Software, Video",1,101-250,2,12000000,USD,12000000,3,Private,,,,3,Early Stage Venture,2018-10-02,8000000,USD,8000000,Series B,,,
Adconion Media Group,https://www.crunchbase.com/organization/adconion-media-group,"Ad Targeting, Advertising, Advertising Platforms, Digital Media, Media and Entertainment","Santa Monica, California, United States",Adconian Media Group provides customized solutions and innovative products delivered across multiple screens on a single platform. ,"18,862",,2005-01-01,year,"Advertising, Media and Entertainment, Sales and Marketing",2,501-1000,4,115500000,USD,115500000,8,Private,,"Made Acquisitions, Was Acquired",,3,M&A,2011-05-09,34000000,USD,34000000,Venture - Series Unknown,,,
TeamDom,https://www.crunchbase.com/organization/teamdom,"Content, Marketing, Media and Entertainment, Social Media","Los Angeles, California, United States","TeamDom is a media conglomerate that builds brands, stories, celebrities, and businesses around teen entertainment and media.","18,904",$1M to $10M,2016-01-01,year,"Internet Services, Media and Entertainment, Sales and Marketing",1,1-10,2,1000000,USD,1000000,7,Private,,,,,Seed,2017-01-17,1000000,USD,1000000,Seed,,,
Our Place,https://www.crunchbase.com/organization/our-place,Retail,"Los Angeles, California, United States",Our Place is a Direct-to-consumer kitchenware company.,"18,946",,2018-01-01,year,Commerce and Shopping,2,1-10,1,2350000,USD,2350000,2,Private,,,,2,,2019-11-02,2350000,USD,2350000,Venture - Series Unknown,,,
SkyBell,https://www.crunchbase.com/organization/idoorcam,"Hardware, Internet of Things, Security, Software","Irvine, California, United States",SkyBell HD is making homes and neighborhoods safer with a Video Doorbell that sends live video of your front door to a smartphone.,"18,988",,2013-01-01,year,"Hardware, Internet Services, Privacy and Security, Software",4,11-50,1,750000,USD,750000,,Private,,,1,,,2015-07-08,750000,USD,750000,Debt Financing,114,19,
tispr,https://www.crunchbase.com/organization/buddyhopp,"E-Commerce, Local, Mobile","Los Angeles, California, United States",tispr is a mobile marketplace that enables its users to buy and sell services from freelancers in their local area.,"18,996",,2014-07-01,day,"Commerce and Shopping, Mobile",2,11-50,2,3999857,USD,3999857,,Private,,,1,,,2015-12-18,3000000,USD,3000000,Venture - Series Unknown,,,
ConversionPoint Technologies Inc.,https://www.crunchbase.com/organization/conversionpoint-technologies,"Content Delivery Network, Digital Marketing, Digital Media, E-Commerce, Internet, Software","Newport Beach, California, United States","ConversionPoint Technologies Inc., is a leading e-commerce infrastructure technology platform that powers high growth e-commerce sales.","19,002",$10M to $50M,2016-05-01,month,"Commerce and Shopping, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing, Software",3,101-250,3,13500000,USD,13500000,1,Private,,Made Acquisitions,,1,Early Stage Venture,2018-07-01,10000000,USD,10000000,Series A,0,1,
Gravity,https://www.crunchbase.com/organization/gravity,"Advertising, Artificial Intelligence, Content, Internet, Personalization","Santa Monica, California, United States","Our mission is to personalize the web. We specifically focus on content personalization, surfacing the best organic and native ad content.","19,008",,2009-04-01,day,"Advertising, Artificial Intelligence, Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",3,11-50,2,20600000,USD,20600000,3,Private,,Was Acquired,,3,M&A,2012-10-02,10600000,USD,10600000,Series B,,,
Gehry Technologies,https://www.crunchbase.com/organization/gehry-technologies,"3D Technology, Architecture, Collaboration, Web Hosting","Los Angeles, California, United States","Gehry Technologies is an AEC technology company, providing web-based 3D project collaboration, building information modeling, and more.","19,034",,2002-01-01,year,"Hardware, Internet Services, Real Estate, Software",1,,2,14599999,USD,14599999,2,Private,,"Made Acquisitions, Was Acquired",,2,M&A,2011-12-06,10500000,USD,10500000,Series B,1,3,
TITAN School Solutions,https://www.crunchbase.com/organization/titan-school-solutions,"Education, Information Technology, Software","Irvine, California, United States",School Nutrition Software,"19,044",,2014-05-01,day,"Education, Information Technology, Software",1,11-50,1,5200000,USD,5200000,3,Private,,,,2,Early Stage Venture,2018-12-18,5200000,USD,5200000,Series A,0,1,
INLT,https://www.crunchbase.com/organization/inlt,"Enterprise Applications, Freight Service, Logistics, SaaS, Shipping, Transportation","Los Angeles, California, United States",B2B SaaS logistics management and US customs brokerage for importers and SBM freight forwarders. ,"19,163",,2017-01-01,year,"Apps, Software, Transportation",4,11-50,1,1000000,USD,1000000,6,Private,,Was Acquired,,2,M&A,2018-04-03,1000000,USD,1000000,Seed,,,
Carpay,https://www.crunchbase.com/organization/carpay,"Lending, Mobile Payments, Payments","Venice, California, United States",Loan Management Software for Auto Lenders,"19,174",,2016-04-01,day,"Financial Services, Mobile, Payments, Software",2,11-50,4,3400000,USD,3400000,4,Private,,,,2,Seed,2020-02-10,1300000,USD,1300000,Seed,,,
Kin Community,https://www.crunchbase.com/organization/kin-community,"Content, Internet, Women's","Los Angeles, California, United States",Kin is a lifestyle entertainment company. ,"19,183",$1M to $10M,2007-01-01,year,"Internet Services, Media and Entertainment",1,51-100,5,55500000,USD,55500000,7,Private,,,2,2,Late Stage Venture,2016-06-30,13500000,USD,13500000,Series D,0,14,
Quantgene,https://www.crunchbase.com/organization/quantgene,"Bioinformatics, Machine Learning","Santa Monica, California, United States",Quantgene is a Bioinformatics using machine learning company.,"19,212",,2016-01-01,year,"Artificial Intelligence, Biotechnology, Data and Analytics, Science and Engineering, Software",,11-50,1,6129143,USD,6129143,,Private,,,,,Early Stage Venture,2017-11-22,6129143,USD,6129143,Series A,,,
Vertical Companies,https://www.crunchbase.com/organization/vertical-companies,"Agriculture, Cannabis, Consumer Goods","Agoura Hills, California, United States",Vertical Companies introduces an entirely new perspective on the global cannabis market.,"19,216",,2014-01-01,year,"Agriculture and Farming, Community and Lifestyle, Consumer Goods, Food and Beverage, Health Care",1,251-500,1,58000000,USD,58000000,1,Private,,,,1,Early Stage Venture,2019-04-02,58000000,USD,58000000,Series A,,,
Camera IQ,https://www.crunchbase.com/organization/camera-iq,"Advertising, Apps, Augmented Reality, Marketing, Mobile Apps, Software, Telecommunications","Santa Monica, California, United States",Camera IQ is a camera experience manager platform.,"19,229",$1M to $10M,2016-01-01,year,"Advertising, Apps, Hardware, Mobile, Sales and Marketing, Software",2,,2,4300000,USD,4300000,9,Private,,,,1,Seed,2018-03-06,2000000,USD,2000000,Seed,,,
Lucidity,https://www.crunchbase.com/organization/kr8os,"Advertising, Advertising Platforms, Analytics, Blockchain, Mobile Advertising","Marina Del Rey, California, United States",Lucidity authenticates the details that make your media tick.,"19,282",$1M to $10M,2017-08-01,month,"Advertising, Data and Analytics, Sales and Marketing",3,11-50,1,5000000,USD,5000000,5,Private,,,,,,2018-08-15,5000000,USD,5000000,Corporate Round,2,1,
AquaHydrate,https://www.crunchbase.com/organization/aquahydrate,"Fashion, Food and Beverage, Health Care, Hospitality, Water, Water Purification","Los Angeles, California, United States","AQUAhydrate is performance water brand that delivers a healthy balance of alkalinity, electrolytes and trace minerals.","19,287",$10M to $50M,2004-01-01,year,"Clothing and Apparel, Design, Food and Beverage, Health Care, Natural Resources, Sustainability, Travel and Tourism",3,51-100,2,20000000,USD,20000000,4,Private,,Was Acquired,,,M&A,2015-02-05,10000000,USD,10000000,Debt Financing,0,6,
Spero Foods,https://www.crunchbase.com/organization/spero-foods-los-angeles-california,"Food and Beverage, Food Processing, Marketing, Organic, Organic Food","Los Angeles, California, United States",Spero Foods produces and sells substitutes for dairy and eggs from plants.,"19,288",,2016-01-01,year,"Food and Beverage, Sales and Marketing, Sustainability",1,1-10,1,120000,USD,120000,2,Private,,,1,,Seed,2018-08-04,120000,USD,120000,Pre-Seed,0,2,
Acacia Research,https://www.crunchbase.com/organization/acacia-research,"Financial Services, Intellectual Property","Newport Beach, California, United States","Acacia Research, through its subsidiaries, acquires, develops, licenses, and enforces patented technologies in the United States.","19,292",$1M to $10M,1993-01-01,year,"Financial Services, Professional Services",,101-250,4,276100000,USD,276100000,1,Public,2002-12-27,Made Acquisitions,,1,IPO,2012-02-21,225000000,USD,225000000,Post-IPO Equity,,,
MD Insider,https://www.crunchbase.com/organization/md-insider,"Big Data, Health Care, Hospital, Machine Learning, Medical","Santa Monica, California, United States",Machine Learning Enabled Physician Performance Transparency,"19,306",,2012-01-01,year,"Artificial Intelligence, Data and Analytics, Health Care, Software",3,11-50,5,24300000,USD,24300000,6,Private,,Was Acquired,1,3,M&A,2015-12-16,12000000,USD,12000000,Series B,5,5,
Cold Genesys,https://www.crunchbase.com/organization/cold-genesys,"Biotechnology, Medical Device, Therapeutics","Santa Ana, California, United States",Cold Genesys is a clinical-stage biopharmaceutical company focused on the development of oncolytic immunotherapies to combat cancer.,"19,329",,2010-01-01,year,"Biotechnology, Health Care, Science and Engineering",1,11-50,3,45570000,USD,45570000,6,Private,,,,3,Late Stage Venture,2019-03-18,22000000,USD,22000000,Series C,10,0,
CapLinked,https://www.crunchbase.com/organization/caplinked,"Collaboration, Enterprise Software, Finance, Software","Redondo Beach, California, United States","CapLinked offers a cloud-based platform for coordinating on asset sales, financings, mergers and acquisitions with secure workspaces.","19,361",$1M to $10M,2010-01-01,year,"Financial Services, Software",2,,6,10749977,USD,10749977,16,Private,,,,1,Early Stage Venture,2014-12-01,2400000,USD,2400000,Convertible Note,0,1,
Centaur Analytics,https://www.crunchbase.com/organization/centaur-analytics,"Analytics, Information Services, Information Technology, Internet of Things","Ventura, California, United States",Sensors & IoT platform for the quality and safety of stored agricultural products.,"19,444",,2014-01-01,year,"Data and Analytics, Information Technology, Internet Services",4,11-50,2,4300000,USD,4300000,5,Private,,,2,2,Seed,2018-10-02,3000000,USD,3000000,Seed,3,4,
Children’s Hospital Los Angeles,https://www.crunchbase.com/organization/children-s-hospital-los-angeles,Health Care,"Los Angeles, California, United States",CHLA is L.A.'s first and largest hospital dedicated specifically to treating children throughout Southern California.,"19,476",$1B to $10B,1901-04-01,day,Health Care,,1001-5000,2,30500000,USD,30500000,1,Private,,,,1,,2020-02-02,25000000,USD,25000000,Grant,1,0,
Macro,https://www.crunchbase.com/organization/macro,"Digital Media, Film, Media and Entertainment","Los Angeles, California, United States",Macro is a disruptive media company focused on the multicultural market.,"19,524",,2015-01-05,day,"Media and Entertainment, Video",1,11-50,2,150000000,USD,150000000,7,Private,,,,1,,2017-10-03,150000000,USD,150000000,Undisclosed,0,1,
Cloud9,https://www.crunchbase.com/organization/cloud9,"eSports, Gaming, Online Games, Sports","Los Angeles, California, United States","Cloud9 is a professional multi-game esports organization that is based in the Los Angeles, California area.","19,542",$1M to $10M,2013-05-23,day,"Gaming, Sports",2,11-50,3,73000000,USD,73000000,25,Private,,,1,3,Early Stage Venture,2018-10-15,50000000,USD,50000000,Series B,0,30,
PRØHBTD,https://www.crunchbase.com/organization/prohbtd,"Cannabis, Consumer Goods, Content","Culver City, California, United States",PRØHBTD is a cannabis consumer goods and content company.,"19,557",$1M to $10M,2014-10-01,day,"Community and Lifestyle, Consumer Goods, Food and Beverage, Health Care, Media and Entertainment",3,51-100,3,8000000,USD,8000000,4,Private,,,,1,Early Stage Venture,2018-06-11,8000000,USD,8000000,Series A,0,3,
Club Speed,https://www.crunchbase.com/organization/club-speed,Software,"Corona, California, United States",Club Speed is a developer and operator of a cloud-based venue management and competitive timing system software.,"19,587",,2005-01-01,year,Software,1,,1,20000000,USD,20000000,2,Private,,Was Acquired,,1,M&A,2019-04-23,20000000,USD,20000000,Private Equity,0,4,
Chef'd,https://www.crunchbase.com/organization/chef-d,"Cooking, Food Delivery","El Segundo, California, United States","Chef'd is great for anyone who enjoys cooking, wants to save time planning meals & grocery shopping.","19,598",$50M to $100M,2013-01-01,year,"Food and Beverage, Transportation",2,101-250,2,40461000,USD,40461000,2,Private,,,,2,Early Stage Venture,2017-08-08,35211000,USD,35211000,Series B,,,
Avanir Pharmaceuticals,https://www.crunchbase.com/organization/avanir-pharmaceuticals,"Biotechnology, Health Diagnostics, Medical Device","Aliso Viejo, California, United States",Avanir Pharmaceuticals is a biopharmaceutical company focused on providing medicines to patients with central nervous system disorders.,"19,607",,1988-01-01,year,"Biotechnology, Health Care, Science and Engineering",,101-250,2,46200000,USD,46200000,4,Delisted,2000-04-14,Was Acquired,,,M&A,2012-06-26,30000000,USD,30000000,Debt Financing,11,19,
