Organization/Person Name,Organization/Person Name URL,Location,Industries,CB Rank (Company),Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Patents,IPqwery - Trademarks
DNA Genetics,https://www.crunchbase.com/organization/dna-genetics,"Los Angeles, California, United States","Brand Marketing, Cannabis","19,218",DNA Genetics a globally recognized leading cannabis brand.,,2004-01-01,year,"Community and Lifestyle, Food and Beverage, Health Care, Sales and Marketing",2,,1,35000000,USD,35000000,1,Private,,,,1,,2018-12-03,35000000,USD,35000000,Corporate Round,0,97
17hats,https://www.crunchbase.com/organization/17hats,"Los Angeles, California, United States","Internet, Internet of Things, Project Management, Software","19,282","17hats is the complete system that helps automate, organize, and optimize small business management for freelancers and entrepreneurs.",,2014-01-01,year,"Internet Services, Software",2,11-50,4,5250000,USD,5250000,3,Private,,,1,1,Early Stage Venture,2017-08-08,,,,Series A,0,1
Our Place,https://www.crunchbase.com/organization/our-place,"Los Angeles, California, United States",Retail,"19,295",Our Place is a Direct-to-consumer kitchenware company.,,2018-01-01,year,Commerce and Shopping,2,1-10,1,2350000,USD,2350000,2,Private,,,,2,,2019-11-02,2350000,USD,2350000,Venture - Series Unknown,,
Ivideon,https://www.crunchbase.com/organization/ivideon,"Costa Mesa, California, United States","Cloud Infrastructure, Cloud Security, Internet of Things, SaaS, Security, Software, Video, Video Streaming","19,337",Cloud Video Surveillance (VSaaS),Less than $1M,2010-04-01,day,"Content and Publishing, Hardware, Information Technology, Internet Services, Media and Entertainment, Privacy and Security, Software, Video",1,101-250,2,12000000,USD,12000000,3,Private,,,,3,Early Stage Venture,2018-10-02,8000000,USD,8000000,Series B,,
CU Direct,https://www.crunchbase.com/organization/cu-direct,"Ontario, California, United States","Lending, Retail, Robotics","19,351","CU Direct helps credit unions, dealers and affinity groups succeed.",$50M to $100M,1994-01-01,year,"Commerce and Shopping, Financial Services, Hardware, Science and Engineering, Software",,251-500,1,1035000,USD,1035000,,Private,,,,,,2018-08-17,1035000,USD,1035000,Venture - Series Unknown,0,13
PeakMetrics,https://www.crunchbase.com/organization/civicfeed,"Los Angeles, California, United States","Analytics, Business Intelligence, Digital Marketing, Marketing, Marketing Automation, Natural Language Processing, Politics","19,432",PeakMetrics helps organizations leverage data-driven insights to understand media coverage and develop successful digital content faster.,Less than $1M,2017-09-01,month,"Artificial Intelligence, Data and Analytics, Government and Military, Sales and Marketing, Software",3,1-10,2,450000,USD,450000,3,Private,,,,,Seed,2020-02-10,,,,Pre-Seed,,
Distributed Machines,https://www.crunchbase.com/organization/distributedmachines,"Santa Monica, California, United States","Blockchain, Crowdsourcing, Education, Information Technology","19,483","Distributed Machines, Inc. serves as a parent company for ventures in the blockchain, distributed ledger and education industry.",Less than $1M,2014-01-01,year,"Education, Information Technology",4,11-50,4,31129878,USD,31129878,2,Private,,,1,1,Early Stage Venture,2018-02-08,30000000,USD,30000000,Series A,,
F/ELD,https://www.crunchbase.com/organization/f-eld,"Los Angeles, California, United States",Cannabis,"19,526","F/ELD is a cannabis brand focused on the ""ultra premium"" portion of the cannabis market.",,2015-01-01,year,"Community and Lifestyle, Food and Beverage, Health Care",1,,1,6000000,USD,6000000,2,Private,,Was Acquired,,1,M&A,2018-09-20,6000000,USD,6000000,Venture - Series Unknown,,
DataHero,https://www.crunchbase.com/organization/datahero,"Santa Monica, California, United States","Analytics, Big Data, Business Intelligence, Data Visualization, Software","19,537",DataHero is a leading cloud business intelligence software platform that specializes in data visualization and data dashboards.,,2011-10-01,day,"Data and Analytics, Design, Information Technology, Software",1,1-10,5,10250000,USD,10250000,9,Private,,Was Acquired,,1,M&A,2015-06-15,,,,Secondary Market,,
Breathe Technologies,https://www.crunchbase.com/organization/breathe-technologies,"Irvine, California, United States","Health Care, Health Diagnostics, Therapeutics","19,558",Breathe Technologies provide healthcare providers and patients with respiratory therapies that optimize breathing and mobility.,$1M to $10M,2005-01-01,year,Health Care,3,51-100,6,56360001,USD,56360001,6,Private,,Was Acquired,,2,M&A,2017-10-31,6250001,USD,6250001,Venture - Series Unknown,85,17
Lantronix,https://www.crunchbase.com/organization/lantronix,"Irvine, California, United States","Hardware, Internet of Things, IT Infrastructure, Network Security, Software","19,560",Lantronix is a global provider of smart IoT (Internet of Things) solutions.,$10M to $50M,1989-01-01,year,"Hardware, Information Technology, Internet Services, Privacy and Security, Software",1,101-250,2,6500000,USD,6500000,,Public,2000-08-11,Made Acquisitions,13,,IPO,2016-06-20,2000000,USD,2000000,Venture - Series Unknown,41,51
Johnnie-O,https://www.crunchbase.com/organization/johnnie-o,"Santa Monica, California, United States","Fashion, Retail, Shopping","19,561",Johnnie-O is a retail business specializing in West Coast Prep style clothing.,,2005-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design",1,11-50,5,23480381,USD,23480381,,Private,,,,,,2019-01-18,4281000,USD,4281000,Venture - Series Unknown,0,18
AquaHydrate,https://www.crunchbase.com/organization/aquahydrate,"Los Angeles, California, United States","Fashion, Food and Beverage, Health Care, Hospitality, Water, Water Purification","19,582","AQUAhydrate is performance water brand that delivers a healthy balance of alkalinity, electrolytes and trace minerals.",$10M to $50M,2004-01-01,year,"Clothing and Apparel, Design, Food and Beverage, Health Care, Natural Resources, Sustainability, Travel and Tourism",3,51-100,2,20000000,USD,20000000,4,Private,,Was Acquired,,,M&A,2015-02-05,10000000,USD,10000000,Debt Financing,0,6
Eton Pharmaceuticals,https://www.crunchbase.com/organization/eton-pharmaceuticals,"Studio City, California, United States","Biopharma, Biotechnology, Health Care, Pharmaceutical","19,593",Eton Is focused on the development and commercialization of innovative sterile injectable product candidates utilizing.,$500M to $1B,2017-01-01,year,"Biotechnology, Health Care, Science and Engineering",1,,1,20000000,USD,20000000,,Public,2018-11-12,,,,IPO,2017-06-20,20000000,USD,20000000,Series A,,
Bitium,https://www.crunchbase.com/organization/bitium,"Santa Monica, California, United States","Cloud Computing, Cyber Security, Identity Management, SaaS, Security, Software","19,607","Bitium is a SaaS-based software operating system providing app management, single sign-on and analytics for cloud-based apps.",,2012-03-05,day,"Information Technology, Internet Services, Privacy and Security, Software",2,11-50,4,14900000,USD,14900000,16,Private,,Was Acquired,2,3,M&A,2016-08-30,6000000,USD,6000000,Venture - Series Unknown,,
PRØHBTD,https://www.crunchbase.com/organization/prohbtd,"Culver City, California, United States","Cannabis, Consumer Goods, Content","19,627",PRØHBTD is a cannabis consumer goods and content company.,$1M to $10M,2014-10-01,day,"Community and Lifestyle, Consumer Goods, Food and Beverage, Health Care, Media and Entertainment",3,51-100,3,8000000,USD,8000000,4,Private,,,,1,Early Stage Venture,2018-06-11,8000000,USD,8000000,Series A,0,3
tispr,https://www.crunchbase.com/organization/buddyhopp,"Los Angeles, California, United States","E-Commerce, Local, Mobile","19,633",tispr is a mobile marketplace that enables its users to buy and sell services from freelancers in their local area.,,2014-07-01,day,"Commerce and Shopping, Mobile",2,11-50,2,3999857,USD,3999857,,Private,,,1,,,2015-12-18,3000000,USD,3000000,Venture - Series Unknown,,
Camera IQ,https://www.crunchbase.com/organization/camera-iq,"Santa Monica, California, United States","Advertising, Apps, Augmented Reality, Marketing, Mobile Apps, Software, Telecommunications","19,636",Camera IQ is a camera experience manager platform.,$1M to $10M,2016-01-01,year,"Advertising, Apps, Hardware, Mobile, Sales and Marketing, Software",2,,2,4300000,USD,4300000,9,Private,,,,1,Seed,2018-03-06,2000000,USD,2000000,Seed,,
Boon,https://www.crunchbase.com/organization/boon-2,"Los Angeles, California, United States","College Recruiting, Human Resources, Recruiting, Social Media, Social Recruiting","19,639",Game-changing referral engagement network,$1M to $10M,2016-01-01,year,"Administrative Services, Education, Internet Services, Media and Entertainment, Professional Services",3,1-10,9,670304,USD,670304,4,Private,,,4,,Seed,2018-08-01,,,,Non-equity Assistance,0,2
SafeRide Health,https://www.crunchbase.com/organization/saferide,"Culver City, California, United States","Health Care, Transportation","19,669",SafeRide is a platform that allows care providers to book non-emergency medical transport (NEMT) for their patients,,2015-04-01,month,"Health Care, Transportation",3,11-50,3,2750001,USD,2750001,6,Private,,,,3,Early Stage Venture,2019-02-20,,,,Series A,,
MD Insider,https://www.crunchbase.com/organization/md-insider,"Santa Monica, California, United States","Big Data, Health Care, Hospital, Machine Learning, Medical","19,724",Machine Learning Enabled Physician Performance Transparency,,2012-01-01,year,"Artificial Intelligence, Data and Analytics, Health Care, Software",3,11-50,5,24300000,USD,24300000,6,Private,,Was Acquired,1,3,M&A,2015-12-16,12000000,USD,12000000,Series B,5,5
Chill,https://www.crunchbase.com/organization/chill,"Los Angeles, California, United States","E-Commerce, Social Network, Video","19,735",Chill is social video discovery platform.,,2010-01-01,year,"Commerce and Shopping, Internet Services, Media and Entertainment, Video",2,1-10,2,9500000,USD,9500000,5,Private,,,,,Early Stage Venture,2012-06-27,8000000,USD,8000000,Series A,0,12
Social Spaces,https://www.crunchbase.com/organization/socialhouse,"Los Angeles, California, United States","Apps, Big Data, PaaS, Property Management, Real Estate, Rental, Rental Property, Sharing Economy, Software","19,762","Social Spaces provides a transparent layer between landlords, subletters, and master lease holders",,2014-05-14,day,"Apps, Commerce and Shopping, Data and Analytics, Real Estate, Software",,1-10,2,113000,USD,113000,,Private,,,1,,Seed,2020-03-01,,,,Seed,0,3
CapLinked,https://www.crunchbase.com/organization/caplinked,"Redondo Beach, California, United States","Collaboration, Enterprise Software, Finance, Software","19,885","CapLinked offers a cloud-based platform for coordinating on asset sales, financings, mergers and acquisitions with secure workspaces.",$1M to $10M,2010-01-01,year,"Financial Services, Software",2,,6,10749977,USD,10749977,16,Private,,,,1,Early Stage Venture,2014-12-01,2400000,USD,2400000,Convertible Note,0,1
Social Bluebook,https://www.crunchbase.com/organization/social-bluebook,"Los Angeles, California, United States","Social Media, Social Media Advertising, Social Media Marketing","19,915",Social Bluebook creates tools that empower creators and bring true transparency to the influencer marketplace.,$1M to $10M,2015-05-01,month,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing",2,11-50,2,96374,USD,96374,1,Private,,,,,,2017-10-17,96374,USD,96374,Equity Crowdfunding,,
myDevices,https://www.crunchbase.com/organization/mydevices,"Calabasas, California, United States","Computer, Internet, Internet of Things, Software","19,922",myDevices is an online platform that provides its users with personalized IoT solutions.,,2013-01-01,year,"Consumer Electronics, Hardware, Internet Services, Software",1,11-50,1,3000000,USD,3000000,1,Private,,,1,1,Early Stage Venture,2017-01-06,3000000,USD,3000000,Series A,0,4
"Fox Rent A Car, Inc.",https://www.crunchbase.com/organization/fox-rent-a-car-inc,"Los Angeles, California, United States","Car Sharing, Rental","19,936",Fox Rent A Car is a value-based car rental brand catering to airport travelers.,$100M to $500M,1989-01-01,year,"Commerce and Shopping, Transportation",2,501-1000,1,25000000,USD,25000000,2,Private,,Made Acquisitions,,1,,2017-07-21,25000000,USD,25000000,Venture - Series Unknown,0,2
Lucidity,https://www.crunchbase.com/organization/kr8os,"Marina Del Rey, California, United States","Advertising, Advertising Platforms, Analytics, Blockchain, Mobile Advertising","19,961",Lucidity authenticates the details that make your media tick.,$1M to $10M,2017-08-01,month,"Advertising, Data and Analytics, Sales and Marketing",3,11-50,1,5000000,USD,5000000,5,Private,,,,,,2018-08-15,5000000,USD,5000000,Corporate Round,2,1
Tagnos,https://www.crunchbase.com/organization/tagnos,"Irvine, California, United States","Health Care, Hospital, Real Time","19,979",Tagnos are a team committed to working with healthcare organizations to simplify the hospital-patient experience.,,2005-01-01,year,Health Care,1,11-50,4,5500000,USD,5500000,6,Private,,,,3,,2018-06-07,,,,Venture - Series Unknown,,
Speakr,https://www.crunchbase.com/organization/twtmob,"Los Angeles, California, United States","Advertising, Apps, Brand Marketing, Digital Media, Internet, Media and Entertainment, Social Media, Social Media Marketing, Social Network","19,997",Influencer Marketing and Talent Management Enterprise Platform,$1M to $10M,2010-04-16,day,"Advertising, Apps, Internet Services, Media and Entertainment, Sales and Marketing, Software",1,11-50,4,4530000,USD,4530000,12,Private,,,,2,Seed,2016-09-09,700000,USD,700000,Debt Financing,0,1
Champions Round,https://www.crunchbase.com/organization/champions-round,"Los Angeles, California, United States","Android, Digital Entertainment, eSports, Fantasy Sports, iOS, Mobile, Mobile Apps, Online Games, Sports, Video Games","20,052",Fan engagement tools for traditional sports & eSports.,,2018-05-14,day,"Apps, Gaming, Media and Entertainment, Mobile, Platforms, Software, Sports",2,1-10,2,780000,USD,780000,,Private,,,,,,2020-03-01,,,,Convertible Note,,
Cinq Music,https://www.crunchbase.com/organization/cinq-music,"Santa Monica, California, United States","Music, Music Label, Music Streaming","20,085",Cinq is a record label and music distribution company that provides rights management and brand management services.,$1M to $10M,2012-01-01,year,"Internet Services, Media and Entertainment, Music and Audio",1,11-50,3,60000000,USD,60000000,1,Private,,,,1,Late Stage Venture,2019-08-13,40000000,USD,40000000,Series C,0,1
Sixgill,https://www.crunchbase.com/organization/sixgill-2,"Santa Monica, California, United States","Developer Tools, Enterprise, Robotics, Software","20,140","Sixgill allows the governance of connected assets—people, places and things —with a sensor data services platform for better IoE deployment.",$1M to $10M,2007-01-01,year,"Hardware, Science and Engineering, Software",,11-50,2,33900000,USD,33900000,2,Private,,,,,Early Stage Venture,2017-09-14,27900000,USD,27900000,Series B,0,7
FanDragon Technologies,https://www.crunchbase.com/organization/fandragon,"West Hollywood, California, United States","Blockchain, Information Technology, SaaS, Ticketing","20,160",Global Ticketing Distribution,,2018-01-01,year,"Events, Information Technology, Media and Entertainment, Software",1,11-50,1,12000000,USD,12000000,,Private,,,,,,2019-07-24,12000000,USD,12000000,Venture - Series Unknown,0,10
Exactuals,https://www.crunchbase.com/organization/exactuals,"Los Angeles, California, United States","Payments, SaaS","20,169",Exactuals is a SaaS payments company that focuses on royalty/residual based markets.,,2011-07-01,day,"Financial Services, Payments, Software",1,11-50,2,20600000,USD,20600000,11,Private,,Was Acquired,,3,M&A,2017-02-15,10600000,USD,10600000,Series B,0,5
W4,https://www.crunchbase.com/organization/w4,"Santa Monica, California, United States","Advertising, Brand Marketing, Lead Generation, Sports","20,174",W4 provides business process management solutions through an expansive network of publishers.,,2009-01-01,year,"Advertising, Sales and Marketing, Sports",4,11-50,1,10000000,USD,10000000,1,Private,,Was Acquired,1,1,M&A,2011-06-20,10000000,USD,10000000,Debt Financing,,
Centaur Analytics,https://www.crunchbase.com/organization/centaur-analytics,"Ventura, California, United States","Analytics, Information Services, Information Technology, Internet of Things","20,188",Sensors & IoT platform for the quality and safety of stored agricultural products.,,2014-01-01,year,"Data and Analytics, Information Technology, Internet Services",4,11-50,2,4300000,USD,4300000,5,Private,,,2,2,Seed,2018-10-02,3000000,USD,3000000,Seed,3,4
Spero Foods,https://www.crunchbase.com/organization/spero-foods-los-angeles-california,"Los Angeles, California, United States","Food and Beverage, Food Processing, Marketing, Organic, Organic Food","20,203",Spero Foods produces and sells substitutes for dairy and eggs from plants.,,2016-01-01,year,"Food and Beverage, Sales and Marketing, Sustainability",1,1-10,1,120000,USD,120000,2,Private,,,1,,Seed,2018-08-04,120000,USD,120000,Pre-Seed,0,2
Tenzo Tea,https://www.crunchbase.com/organization/tenzo-tea,"Los Angeles, California, United States","Retail, Wholesale","20,211",Tenzo Tea - Feel the Healthy Energy. ,Less than $1M,2016-07-01,day,Commerce and Shopping,2,11-50,1,250000,USD,250000,,Private,,,,,Seed,2017-09-01,250000,USD,250000,Seed,0,3
ListReports,https://www.crunchbase.com/organization/listreports,"Orange, California, United States","Marketing, Property Management, Real Estate","20,216",ListReports is an innovative new startup in the real estate technology industry.,$1M to $10M,2015-02-02,day,"Real Estate, Sales and Marketing",3,51-100,4,1425911,USD,1425911,2,Private,,,,1,,2018-11-14,555000,USD,555000,Debt Financing,1,3
Avata Intelligence,https://www.crunchbase.com/organization/avata-intelligence,"Venice, California, United States","Artificial Intelligence, Machine Learning, Natural Language Processing, SaaS","20,235",Avata Intelligence provides a Natural Language Assistant (NLA) that automates your information tasks.,,2013-01-01,year,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",4,11-50,1,2500000,USD,2500000,1,Private,,Was Acquired,,,M&A,2016-06-07,2500000,USD,2500000,Seed,0,2
Thrive Causemetics,https://www.crunchbase.com/organization/thrive-causemetics,"Los Angeles, California, United States","Beauty, Charity, Cosmetics","20,237","Thrive Causemetics offers cosmetics that are cruelty-free, vegan, and formulated with safe ingredients.",,2013-01-01,year,Consumer Goods,1,11-50,2,260000,USD,260000,1,Private,,,,1,Seed,2015-11-13,165000,USD,165000,Angel,0,7
JetSuite,https://www.crunchbase.com/organization/jetsuite,"Irvine, California, United States","Aerospace, Travel","20,246",JetSuite owns and operates a fleet of WiFi-equipped JetSuite Edition CJ3s and Phenom 100s available for private jet charter.,$10M to $50M,2009-01-01,year,"Science and Engineering, Travel and Tourism",3,101-250,2,7000000,USD,7000000,1,Private,,,,1,,2016-10-25,,,,Venture - Series Unknown,0,5
Alexandria Real Estate Equities,https://www.crunchbase.com/organization/alexandria-real-estate-equities,"Pasadena, California, United States","Asset Management, Commercial Real Estate, Life Science, Real Estate","20,257","Alexandria Real Estate Equities, Inc., Landlord of Choice to the Life Science Industry, is the largest owner and pre-eminent",$100M to $500M,1994-01-01,year,"Biotechnology, Financial Services, Real Estate, Science and Engineering",1,251-500,1,220000,USD,220000,,Public,1997-06-06,Was Acquired,2,,M&A,2017-01-15,220000,USD,220000,Seed,0,144
Branded Online,https://www.crunchbase.com/organization/branded-online,"Costa Mesa, California, United States","E-Commerce, Internet, Online Portals","20,297","Branded Online is a dynamic technology company that delivers enterprise-class ecommerce, marketing, and logistics solutions to brands.",$1M to $10M,2009-01-01,year,"Commerce and Shopping, Internet Services",2,101-250,2,8332996,USD,8332996,3,Private,,,,,,2017-06-14,4332996,USD,4332996,Venture - Series Unknown,0,8
CUDDLY Inc.,https://www.crunchbase.com/organization/poundwishes-inc-,"Seal Beach, California, United States","Crowdfunding, Information Technology, Pet","20,330",CUDDLY is a fundraising platform serving animal rescue and shelter partners worldwide.,,2014-01-01,day,"Community and Lifestyle, Financial Services, Information Technology",2,1-10,7,2530000,USD,2530000,3,Private,,,,2,Seed,2018-12-01,1080000,USD,1080000,Seed,0,7
Miso Media,https://www.crunchbase.com/organization/miso-media,"Venice, California, United States","E-Learning, Education, Music","20,345",Miso Media is a tech and music startup that develops music education software for music learners.,,2008-01-01,year,"Education, Media and Entertainment, Music and Audio, Software",4,11-50,2,3000000,USD,3000000,9,Private,,,2,1,Early Stage Venture,2011-09-14,2400000,USD,2400000,Series A,,
The Hollywood Reporter,https://www.crunchbase.com/organization/the-hollywood-reporter,"Los Angeles, California, United States","Celebrity, Events, Film, Law Enforcement, Music, News, Photography, Video","20,358","The Hollywood Reporter is an online platform, providing entertainment news, reviews, videos, and analysis for its users.",,1930-09-03,day,"Content and Publishing, Events, Government and Military, Media and Entertainment, Music and Audio, Privacy and Security, Video",,251-500,,,,,,Private,,Made Acquisitions,,,,,,,,,,
Epica International,https://www.crunchbase.com/organization/epica-international,"San Clemente, California, United States","Health Diagnostics, Medical Device, Robotics, Software","20,359","Epica International designs, develops and distributes progressive robotic systems.",$10M to $50M,2013-01-01,year,"Hardware, Health Care, Science and Engineering, Software",2,51-100,10,28400000,USD,28400000,2,Private,,,,2,Early Stage Venture,2019-05-24,300000,USD,300000,Convertible Note,18,0
Avanir Pharmaceuticals,https://www.crunchbase.com/organization/avanir-pharmaceuticals,"Aliso Viejo, California, United States","Biotechnology, Health Diagnostics, Medical Device","20,364",Avanir Pharmaceuticals is a biopharmaceutical company focused on providing medicines to patients with central nervous system disorders.,,1988-01-01,year,"Biotechnology, Health Care, Science and Engineering",,101-250,2,46200000,USD,46200000,4,Delisted,2000-04-14,Was Acquired,,,M&A,2012-06-26,30000000,USD,30000000,Debt Financing,11,19
Terran Orbital,https://www.crunchbase.com/organization/terran-orbital,"Irvine, California, United States","Aerospace, Machinery Manufacturing, Manufacturing, Satellite Communication","20,485","Terran Orbital are the leading innovators and providers of picosatellites, cubesats, and nanosatellites.",$1M to $10M,2013-01-01,year,"Hardware, Manufacturing, Science and Engineering",2,101-250,2,43040000,USD,43040000,3,Private,,,,,Early Stage Venture,2018-08-06,36040000,USD,36040000,Series B,0,2
VYRL,https://www.crunchbase.com/organization/vyrl,"Irvine, California, United States","Big Data, Digital Marketing, E-Commerce, Marketing Automation, Social Media Marketing","20,494",VYRL is building the biggest E-commerce Network in the world.,,2015-10-15,day,"Commerce and Shopping, Data and Analytics, Sales and Marketing, Software",2,11-50,3,3065000,USD,3065000,7,Private,,,,2,Early Stage Venture,2019-06-01,,,,Series A,0,9
Curri,https://www.crunchbase.com/organization/curri,"Ventura, California, United States","Building Material, Construction, Delivery Service","20,499",Curri delivers construction supplies and materials.,,2018-01-01,year,"Real Estate, Transportation",1,1-10,1,150000,USD,150000,1,Private,,,,1,Seed,2019-08-19,150000,USD,150000,Seed,0,2
SyncOnSet Technologies,https://www.crunchbase.com/organization/wymsee,"Los Angeles, California, United States","Film, Film Production, Software, TV Production, Video","20,519",SyncOnSet is the leading entertainment technology company for digitizing physical production and managing creative content.,Less than $1M,2012-04-20,day,"Media and Entertainment, Software, Video",4,11-50,5,8188947,USD,8188947,8,Private,,Was Acquired,,1,M&A,2018-11-02,1250000,USD,1250000,Venture - Series Unknown,0,2
Biolase,https://www.crunchbase.com/organization/biolase,"Irvine, California, United States","3D Printing, Biotechnology, Health Care, Medical Device","20,525",Biolase develops lasers and related products for providing biological treatments that reduce pain.,$1M to $10M,1987-01-01,year,"Biotechnology, Health Care, Manufacturing, Science and Engineering",,251-500,6,77024004,USD,77024004,4,Public,2003-06-10,,,1,IPO,2018-03-08,6000000,USD,6000000,Post-IPO Debt,122,59
PopBase,https://www.crunchbase.com/organization/binary-bubbles-inc,"Burbank, California, United States","Gaming, Health Care, Personal Health, Software","20,561","a content distribution platform that empowers healthcare experts to improve patient compliance through a gamified, educational experience.",,2017-01-01,day,"Gaming, Health Care, Software",3,11-50,2,1370000,USD,1370000,5,Private,,,6,,Seed,2019-07-10,650000,USD,650000,Convertible Note,3,1
Vertical Companies,https://www.crunchbase.com/organization/vertical-companies,"Agoura Hills, California, United States","Agriculture, Cannabis, Consumer Goods","20,609",Vertical Companies introduces an entirely new perspective on the global cannabis market.,,2014-01-01,year,"Agriculture and Farming, Community and Lifestyle, Consumer Goods, Food and Beverage, Health Care",1,251-500,1,58000000,USD,58000000,1,Private,,,,1,Early Stage Venture,2019-04-02,58000000,USD,58000000,Series A,,
Revolution Prep,https://www.crunchbase.com/organization/revolution-prep,"Santa Monica, California, United States","EdTech, Education, Skill Assessment, Tutoring","20,629",Revolution Prep provides education software and services that enable students to score better at exams.,$10M to $50M,2002-01-01,year,"Education, Software",2,101-250,3,19000000,USD,19000000,2,Private,,Made Acquisitions,,1,Early Stage Venture,2017-05-08,4000000,USD,4000000,Series B,0,2
Sabio Mobile,https://www.crunchbase.com/organization/sabio-mobile,"Santa Monica, California, United States","Advertising, Advertising Platforms, Artificial Intelligence, Digital Marketing, Mobile","20,635",Sabio Mobile's unique Mobile technology allows for brands to more efficently reach their audiences .,$1M to $10M,2014-03-15,day,"Advertising, Artificial Intelligence, Data and Analytics, Mobile, Sales and Marketing, Science and Engineering, Software",2,11-50,5,4350000,USD,4350000,,Private,,,,,,2017-10-01,100000,USD,100000,Convertible Note,0,4
Digitzs,https://www.crunchbase.com/organization/digitzs,"Santa Monica, California, United States","Digital Media, Internet, Payments","20,636","We make payments painless for apps, marketplaces and platforms.",$1M to $10M,2014-04-01,day,"Financial Services, Internet Services, Media and Entertainment, Payments",9,1-10,6,8550000,USD,8550000,2,Private,,,,,,2017-06-15,3600000,USD,3600000,Venture - Series Unknown,1,2
iTrustCapital Inc.,https://www.crunchbase.com/organization/itrustcapital-inc,"Los Angeles, California, United States","Cryptocurrency, Financial Services, FinTech, Trading Platform","20,646","Digital asset trading platform to trade Cryptocurrencies and Physical Gold real-time, 24/ in retirement accounts.",,2018-01-01,year,"Financial Services, Lending and Investments, Payments, Software",3,11-50,2,3000000,USD,3000000,1,Private,,,,,Seed,2019-01-01,2000000,USD,2000000,Seed,,
DEARhealth,https://www.crunchbase.com/organization/dearhealth,"Beverly Hills, California, United States","Health Care, Hospital, Medical, Therapeutics","20,676",DEARhealth delivers a platform for value-based chronic disease management,Less than $1M,2013-01-01,year,Health Care,2,1-10,2,6800000,USD,6800000,4,Private,,,,1,Early Stage Venture,2019-07-17,6800000,USD,6800000,Series A,,
FightCamp,https://www.crunchbase.com/organization/fightcamp,"Costa Mesa, California, United States","Beauty, Fitness, Health Care","20,692",FightCamp is the best boxing workouts from your home.,,2013-01-01,year,"Consumer Goods, Health Care, Sports",2,,1,120000,USD,120000,1,Private,,,,,Seed,2016-03-22,120000,USD,120000,Seed,,
CurbStand,https://www.crunchbase.com/organization/curbstand,"West Hollywood, California, United States","Automotive, FinTech, Mobile, Mobile Payments, Parking, Public Transportation, Transportation, Travel","20,695","Seamless, cashless valet parking in Los Angeles. Pay & tip right from your phone.",,2013-01-01,year,"Financial Services, Mobile, Payments, Software, Transportation, Travel and Tourism",4,11-50,5,5100000,USD,5100000,1,Private,,Made Acquisitions,,,Seed,2015-12-25,600000,USD,600000,Seed,0,2
Anyone Home,https://www.crunchbase.com/organization/anyone-home,"Lake Forest, California, United States","CRM, Internet of Things, Property Management, Real Estate, Software","20,710",Anyone Home is a software and services company focused on engagement in the multi and single-family rental housing market.,$10M to $50M,2013-01-01,year,"Information Technology, Internet Services, Real Estate, Sales and Marketing, Software",1,251-500,5,10481224,USD,10481224,1,Private,,,,1,,2019-02-08,1674998,USD,1674998,Venture - Series Unknown,0,4
friendbuy,https://www.crunchbase.com/organization/friendbuy,"Los Angeles, California, United States","Digital Marketing, E-Commerce, Enterprise Software, Retail Technology, SaaS","20,751",Powering referral marketing for the hottest companies in e-commerce.,,2010-01-01,year,"Commerce and Shopping, Hardware, Sales and Marketing, Software",1,11-50,2,1800000,USD,1800000,5,Private,,,,,Seed,2018-02-16,500000,USD,500000,Debt Financing,0,1
New Form Digital,https://www.crunchbase.com/organization/new-form-digital,"Los Angeles, California, United States","Content Creators, Digital Media, Media and Entertainment, Predictive Analytics, Sports, Video Streaming","20,770",New Form is developing original series and investing in digital content.,,2014-01-01,year,"Artificial Intelligence, Content and Publishing, Data and Analytics, Media and Entertainment, Software, Sports, Video",1,11-50,2,18000000,USD,18000000,2,Private,,Was Acquired,4,2,M&A,2016-12-08,18000000,USD,18000000,Series B,0,2
One Step Software,https://www.crunchbase.com/organization/one-step,"Los Angeles, California, United States","Real Estate, Rehabilitation, Software, Wellness","20,771",One Step is a fast growing technology company in the sober living space.,,2017-06-01,day,"Health Care, Real Estate, Software",1,1-10,3,1100000,USD,1100000,12,Private,,,,,Seed,2018-07-01,1000000,USD,1000000,Seed,0,7
Discotech,https://www.crunchbase.com/organization/discotech,"Los Angeles, California, United States","Android, Hospitality, iOS, Lifestyle, Nightlife, Travel","20,803","Top-rated nightlife app that allows users to browse and book table service, purchase presale tickets, and sign up for guest lists.",Less than $1M,2012-01-01,year,"Community and Lifestyle, Events, Media and Entertainment, Mobile, Platforms, Software, Travel and Tourism",5,1-10,5,500000,USD,500000,6,Private,,,,,,2017-02-01,,,,Venture - Series Unknown,0,1
