Full Description,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Number of Employees,Number of Founders,Industry Groups,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,IPO Status,Number of Events
"Victorious empowers creators to distribute all of their multimedia content in their own apps, interact more deeply and directly with their fan communities, and unlock new revenue streams.   The company is based in Santa Monica, California.",Victorious,https://www.crunchbase.com/organization/victorious-2,"Content Creators, Internet, Software, Video","Santa Monica, California, United States","For entertainers who want to superserve their superfans, Victorious enables, manages and finances a digital superfan club.",3,Early Stage Venture,50000000,USD,50000000,"13,459",$1M to $10M,Active,2013-01-01,year,,,For Profit,http://victorious.com/,51-100,4,"Internet Services, Media and Entertainment, Software, Video","Kleiner Perkins, Canaan Partners, Redpoint, WME, Advancit Capital",2,15,,,Private,2
"Karem Aircraft develops and manufactures advanced fixed-wing and rotary-wing aircraft, including manned and unmanned high-efficiency tiltrotors. Karem’s patented Optimum Speed Tiltrotor (OSTR) technology combines the fast, inexpensive, safe operation of efficient fixed-wing airplanes with the robust hover capability of helicopters.  The company is headquartered in Orange County, California with offices in York, Virginia and Victorville, California.",Karem Aircraft,https://www.crunchbase.com/organization/karem-aircraft-inc,"Aerospace, Air Transportation, Industrial Manufacturing","Lake Forest, California, United States",Karem Aircraft is an aviation and aerospace company that provides aircraft systems and subsystems.,1,Early Stage Venture,25000000,USD,25000000,"13,474",$1M to $10M,Active,2004-01-01,year,,,For Profit,http://karemaircraft.com,101-250,1,"Manufacturing, Science and Engineering, Transportation",Hanwha Systems,1,1,,,Private,
"DreamHost provides domain registration, web hosting and cloud services to 1.5 million sites, blogs and applications, and supports over 400,000 web designers, developers, content creators, small businesses and entrepreneurs with the power of the Open Web. They Snap Love is a mobile application that enables parents to share photos of their children with their friends and loved ones. It was launched by Kyle Daigle and Brian Nelson and is based in Vermont, Connecticut.",DreamHost,https://www.crunchbase.com/organization/dreamhost,"Cloud Computing, Cloud Data Services, Internet, Web Hosting","Los Angeles, California, United States","DreamHost provides web hosting, domain registration, and cloud services for individuals, small businesses, and developers.",2,,48000000,USD,48000000,"13,478",$50M to $100M,Active,1997-09-22,day,,,For Profit,http://www.dreamhost.com,501-1000,4,"Information Technology, Internet Services, Software","Goldman Sachs, JP Morgan",1,2,,,Private,16
"Ice Energy(R) is clean energy technology company focused on developing utility-scale distributed energy resource and storage technologies. The company's solutions address the increasing demand for clean energy by shifting the largest component of residential and commercial electricity usage - air conditioning - from peak to off-peak periods, when energy generation is cleaner, less expensive and more abundant. The company's utility scale, demand-side distributed energy storage technology provides a scalable, reliable solution to utilities for leveling peak energy demand, controlling costs, and transitioning to a cleaner, smarter, more sustainable power grid. Ice Energy is transforming energy system efficiency and grid reliability by enabling utilities to intelligently manage their load profile. They provide utilities with innovative smart grid solutions that integrate proven distributed storage, two-way closed loop control, and permanent peak load shifting as a renewable portfolio resource.",Ice Energy,https://www.crunchbase.com/organization/ice-energy-inc,"Clean Energy, Energy, Energy Storage, Power Grid, Renewable Energy","Costa Mesa, California, United States",Ice Energy is focused on developing utility-scale distributed energy resources and storage technologies for clean energy.,5,Private Equity,132000000,USD,132000000,"13,483",,Closed,2003-01-01,year,,,,http://www.ice-energy.com,11-50,2,"Energy, Sustainability","Goldman Sachs, Energy Capital Partners, Argo Infrastructure, Second Avenue Partners, SAIL Capital Partners LLC",2,6,,,Private,
"aXiomatic empowers competitive gaming. We commit financial resources and sports industry expertise to ambitious, dynamic companies who create compelling video gaming experiences for passionate fans. Our partners are shaping the future of the world’s fastest growing sport. Care to play?",aXiomatic Gaming,https://www.crunchbase.com/organization/axiomatic-gaming,"Gaming, Sports, Video","Los Angeles, California, United States",aXiomatic powers unforgettable esports experiences through sports and entertainment expertise.,2,,47500000,USD,47500000,"13,517",,Active,2015-11-01,month,,,,https://www.axiomaticgaming.com/,,4,"Gaming, Media and Entertainment, Sports, Video","Declaration Capital, Michael Jordan, Curtis Polk",1,3,,,Private,
,WeRecover,https://www.crunchbase.com/organization/werecover,"Fitness, Hospitality, Mobile Apps, Online Portals, Rehabilitation, Search Engine, Travel, Wellness","Santa Monica, California, United States",WeRecover is a transparent search engine for addiction treatment resources.,4,Seed,5250000,USD,5250000,"13,519",Less than $1M,Active,2016-01-01,day,,,For Profit,http://werecover.com,11-50,2,"Apps, Health Care, Internet Services, Mobile, Software, Sports, Travel and Tourism","BoxGroup, Social Starts, Joyance Partners, Kairos, AAF Management Ltd.",2,11,,,Private,
"At Involve we are dedicated to helping leadership drive company alignment using Artificial Intelligence and analytics. Involve's Instagram like platform helps leaders successfully communicate with a dispersed workforce & receive AI-driven real-time insights on sales, customers, & market trends. Our platform has the ability to deep dive into your employee communication channels and delivers the most valuable nuggets of insight in order for proactive, actionable changes to be made.",Involve,https://www.crunchbase.com/organization/glipped,"Artificial Intelligence, Enterprise Software, Information Technology, SaaS, Social CRM, Software","Santa Monica, California, United States",Communication OS for your distributed workforce.,2,Seed,2500000,USD,2500000,"13,573",$1M to $10M,Active,2017-01-01,year,,,For Profit,http://www.involvesoft.com/,11-50,2,"Artificial Intelligence, Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software","Techstars, Techstars Berlin Accelerator, Mucker Capital, Greycroft, Bonfire Ventures",1,8,,,Private,
"Universal Music Group provides recorded music, music publishing, and merchandising services worldwide. It discovers and develops songwriters, and owns and administers copyrights to musical compositions for use in recordings, public performances, and related uses such as films and advertisements; and sells artist and music branded products through multiple sales points including online, fashion retail, and live performances worldwide. Universal Music Group was founded in 1998 and is headquartered in Santa Monica, California. Currently, it operates as a subsidiary of Vivendi Société Anonyme.",Universal Music Group,https://www.crunchbase.com/organization/universal-music-group,"Media and Entertainment, Music, Venture Capital","Santa Monica, California, United States","Universal Music Group provides recorded music, music publishing, and merchandising services worldwide.",1,,,,,"13,589",$500M to $1B,Active,1934-09-01,month,,,For Profit,https://www.universalmusic.com,10001+,2,"Financial Services, Lending and Investments, Media and Entertainment, Music and Audio",Tencent Holdings,1,1,7,Made Acquisitions,Private,4
"Croquet Corporation is a software and systems development firm dedicated to creating live, collaborative, interactive experiences at scale, as well as the tools and technologies required for other developers to innovate at the frontier of Live Collaboration games and applications. Croquet’s revolutionary platform, powered by a global edge reflector network, is faster, cheaper, easier to use, more secure and scalable, with dramatically lower latency and bandwidth requirements than any other solution.",CROQUET Corporation,https://www.crunchbase.com/organization/croquet-corporation,Software,"Los Angeles, California, United States","Croquet Corporation is a transformational platform for the development of Live Collaboration apps and games, optimized for AR and 5G.",1,Seed,2700000,USD,2700000,"13,606",,Active,2018-05-05,day,,,For Profit,https://croquet.io,1-10,1,Software,SIP Global Partners,1,1,,,Private,
"Eta Compute was founded in 2015 with the singular vision of helping companies develop products with significantly longer battery life or powered by energy harvesting.  The result is the revolutionary reduction in power consumption of microcontrollers and SoCs used the connected world. Eta Compute developed EtaCore™, the world’s lowest power microcontroller IP, which delivers a 10X improvement in power efficiency over any alternative. Today, Eta Compute develops and licenses the world’s lowest power SoC IP for energy-constrained sensors and devices for the Internet of Things (IoT). The company’s unique process insensitive and low voltage design methodology enable extremely efficient always-on and always aware processing. Combined with its silicon proven IP and custom circuit conversion, Eta Compute’s IP minimizes design time, costs and risk. Eta Compute offers a variety of licensing models designed to meet the unique needs of each customer including standard, perpetual and NRE contracts. The company’s turnkey consulting and design services result in leading-edge technology solutions that exceed customer expectations for low-power, performance, and value.",Eta Compute,https://www.crunchbase.com/organization/eta-compute,"Internet, Software","Westlake Village, California, United States",Eta Compute offers a power embedded computing platform to support machine learning and intelligence in portable devices,1,Early Stage Venture,8000000,USD,8000000,"13,662",$1M to $10M,Active,2015-01-01,year,,,For Profit,http://etacompute.com,,3,"Internet Services, Software","Walden International, Acorn Pacific Ventures, Walden Riverwood Ventures",1,3,,,Private,3
"EPIX Therapeutics develops and manufactures products for use in electrophysiology based on microwave radiometry technology. Its products provide real-time feedback of energy delivered by catheters during cardiac ablation procedures. The company has a strategic relationship with Hansen Medical Inc.  Advanced Cardiac Therapeutics, Inc. (ACT), a medical device company that designs and manufactures a catheter-based system for the treatment of patients with atrial fibrillation (AFIB), today announced it has changed its name to EPIX Therapeutics, Inc.",EPIX Therapeutics,https://www.crunchbase.com/organization/advanced-cardiac-therapeutics,"Biotechnology, Life Science, Therapeutics","Laguna Beach, California, United States",EPIX Therapeutics develops and commercializes microwave radiometry-based products for electrophysiology tests.,6,M&A,69037000,USD,69037000,"13,678",,Active,2007-01-01,year,2019-01-24,day,For Profit,http://www.actmed.net,11-50,1,"Biotechnology, Health Care, Science and Engineering","New Enterprise Associates, Ajax Health, Questa Capital Management, NBGI Ventures",3,4,,Was Acquired,Private,
"DropLabs is based in Echo Park, Los Angeles, embedded in a community rooted in diversity and creativity. Proudly leading the charge as a female-led company, DropLabs is inspiring the tech industry's next generation by leaning into their refreshingly unique perspective.",DropLabs,https://www.crunchbase.com/organization/sonicsensory,"Consumer Electronics, Wireless","Los Angeles, California, United States",DropLabs develops audio-immersive technology and manufactures consumer electronics.,2,,18000004,USD,18000004,"13,709",,Active,2012-01-01,month,,,For Profit,https://droplabs.com/,11-50,1,"Consumer Electronics, Hardware, Mobile",,,,,,Private,
"esVolta develops, owns and operates utility-scale energy storage projects across North America. Our projects provide essential services for electric utilities and large energy users including on-demand capacity, energy arbitrage, and ancillary grid support services. esVolta's portfolio of operational plus utility-contracted pipeline projects totals 500 MWh, and we are actively developing over 2,000 MWhs of further new project opportunities.",esVolta,https://www.crunchbase.com/organization/esvolta,"Energy, Energy Management, Energy Storage","Aliso Viejo, California, United States","esVolta is a developer, owner and operator of utility-scale energy storage projects.",1,,140000000,USD,140000000,"13,717",,Active,2017-01-01,year,,,,https://www.esvolta.com/,,,Energy,"CIT Group, KeyBanc Capital Markets, CoBank, Siemens Financial Services",1,4,,,Private,
"Centercode is a Customer Validation company that helps organizations build successful, high-quality products through Alpha, Beta, and Field Testing. Today's leading high-growth and modern enterprise businesses leverage Centercode's platform, consulting services, testers, and process framework to run best-in-class customer testing programs and launch with confidence.",Centercode,https://www.crunchbase.com/organization/centercode,"Consulting, Market Research, Product Research, SaaS, Software","Laguna Hills, California, United States","Centercode is a SaaS Customer Validation company providing the platform and services for Alpha, Beta, and Field Tests.",2,M&A,7500006,USD,7500006,"13,800",$1M to $10M,Active,2001-05-05,day,2015-08-01,day,For Profit,http://www.centercode.com,51-100,4,"Data and Analytics, Design, Software","FTV Capital, Parallax Capital",2,2,1,"Made Acquisitions, Was Acquired",Private,6
"Sellbrite is a leading multichannel inventory and order control solution that helps retailers build, manage and grow their multichannel ecommerce business. The intuitive Sellbrite platform enables retailers to list and control their inventory on multiple online channels, such as Amazon, eBay, Walmart, Etsy, Shopify, Bigcommerce and others, all from one simple interface. In addition, powerful automation and order fufillment capabilities free up time and accelerate growth. And, with its wide-reaching data and reporting features, the platform delivers valuable cross-channel insights to make smarter decisions.",Sellbrite,https://www.crunchbase.com/organization/sellbrite,"E-Commerce, SaaS, Software","Pasadena, California, United States",Sellbrite is an online multichannel ecommerce platform.,6,M&A,2768284,USD,2768284,"13,804",$1M to $10M,Active,2013-01-01,year,2019-04-10,day,For Profit,http://www.sellbrite.com,11-50,2,"Commerce and Shopping, Software","Lighter Capital, Idealab, Krillion Ventures, Quixotic Ventures, Clark Landry",1,7,,Was Acquired,Private,1
"HomeUnion is an investment platform that offers high income, single family cash flow homes nationally for real estate investors. The company brings together a network of property providers, who stay on as managers after the purchase to ensure a single point of accountability and rental income. HomeUnion also provides post-purchase market intelligence, portfolio analysis, and management oversight for investors. Founded in 2009, the company is headquartered in Irvine, California.",HomeUnion,https://www.crunchbase.com/organization/homeunion-services,"FinTech, Real Estate, Real Estate Investment","Irvine, California, United States",HomeUnion provides real estate investment management.,3,M&A,21500000,USD,21500000,"13,809",$1M to $10M,Active,2009-11-13,day,2019-07-24,day,For Profit,https://www.HomeUnion.com/,51-100,2,"Financial Services, Real Estate","Artiman Ventures, Northgate Capital, August One, Tamarisc Ventures, Colchis Capital Management",1,5,,Was Acquired,Private,
"Biosynthetic Technologies (BT) manufactures a revolutionary new class of biobased synthetic molecules that are made from organic fatty acids found in plant oils. These highly-functional “biosynthetic” oils have numerous uses in the lubricant, chemical, and cosmetics industries, often outperforming their petroleum counterparts in similar applications. In addition to their high-performance properties, these renewable oils are biodegradable and nontoxic. Finally, BT holds a broad portfolio of issued and pending patents protecting these novel biosynthetic oils.",Biosynthetic Technologies,https://www.crunchbase.com/organization/biosynthetic-technologies,"Biotechnology, Cosmetics, Energy Efficiency, Manufacturing, Renewable Energy","Irvine, California, United States",BT manufactures a revolutionary new class of biobased synthetic molecules that are made from organic fatty acids found in plant oils.,3,M&A,109500000,USD,109500000,"13,840",,Active,2006-01-01,year,2018-04-09,day,For Profit,http://biosynthetic.com/,11-50,1,"Biotechnology, Consumer Goods, Energy, Manufacturing, Science and Engineering, Sustainability","BP Ventures, HG Ventures, Evonik Venture Capital, U.S. Department of Agriculture",2,4,,Was Acquired,Private,
"DSTLD [‘distilled’] designs and delivers premium denim and luxury essentials without retail markup, offering premium product for about 1/3 the traditional price, thanks to its direct-to-consumer business model. As its name suggests, DSTLD is careful to introduce only the most perfect and fundamental pieces within a highly edited color palate - only black, white, grey, and denim - to reinforce its mission to ‘distill’ the business of luxury essentials. It’s focused on crafting items that coincide with the LA denim culture but with a restrained, modern feel. Accordingly, the label maintains an edgy, clean, and sophisticated aesthetic, and boasts the highest level of premium design. All of DSTLD’s products are produced in the most sought after facilities in North America and Italy utilizing the finest materials from Japan, Italy, and the United States.",DSTLD,https://www.crunchbase.com/organization/dstld,"E-Commerce, Fashion, Lifestyle","Los Angeles, California, United States",DSTLD is a direct-to-consumer premium denim brand.,6,,8705279,USD,8705279,"13,880",$1M to $10M,Active,2013-01-01,year,,,For Profit,https://www.dstld.com/,1-10,3,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","SeedInvest, StartEngine, Plus Capital, Tuesday Capital, TenOneTen Ventures",2,19,,,Private,
"Homestead finances and manages the conversion of garages into rental apartments. Homestead covers the operations in converting a garage into a rental property, from financing, through design, construction and management, giving homeowners a clear path to financial stability and empowering them to help California's housing crisis.",Homestead,https://www.crunchbase.com/organization/homestead,"Construction, Property Development, Property Management, Real Estate","Los Angeles, California, United States",Homestead finances and manages the conversion of garages into rental apartments.,1,Seed,150000,USD,150000,"13,914",,Active,2019-12-17,day,,,For Profit,https://www.homestead.is/,11-50,2,Real Estate,Y Combinator,,1,,,Private,
Boundless Mind is an artificial intelligence platform for behavior design. Use our analytics to understand your users' real behavior in your app and our reinforcement API to reward them as they build great new habits.,Boundless Mind,https://www.crunchbase.com/organization/dopaminelabs,"Artificial Intelligence, Machine Learning, Neuroscience, SaaS","Venice, California, United States",Boundless Mind is an artificial intelligence platform for behavior design.,4,M&A,1300000,USD,1300000,"13,930",,Active,2015-01-01,year,2019-10-16,day,For Profit,http://www.boundless.ai,1-10,2,"Artificial Intelligence, Biotechnology, Data and Analytics, Science and Engineering, Software","Social Starts, Joyance Partners, Lowercase Capital, Esther Dyson, New York Angels",,13,,Was Acquired,Private,
"Halla is a taste intelligence company. We enable retailers to predict the personal preferences of their shoppers, all in real time. Our enterprise APIs put grocers in position to power highly-personalized shopping experiences, driving growth in basket size, customer retention, and coupon redemption. Halla is different. We're obsessed with understanding food. Because when we know food, we know people. And when we know people, we get to help retailers deliver delightful shopping experiences through deeper customer insight. We use natural language processing and statistical machine learning to build a better brain for human taste that helps you understand personal preferences and respond to them in real time across all omnichannel environments.",Halla,https://www.crunchbase.com/organization/halla,"Data Mining, Delivery, E-Commerce, Food Delivery, Grocery, Nutrition, Personalization, Retail Technology, Shopping, Software","Los Angeles, California, United States",Inspiring a more curious world.,4,Seed,1950000,USD,1950000,"13,958",$1M to $10M,Active,2016-01-01,month,,,For Profit,https://www.halla.io/,11-50,3,"Administrative Services, Commerce and Shopping, Data and Analytics, Food and Beverage, Hardware, Health Care, Information Technology, Software, Transportation","SOSV, FOOD-X, E&A Venture Capital",1,3,,,Private,
"Kennedy-Wilson Holdings, Inc. is a vertically integrated global real estate investment and services company. The Company has approximately 24 offices throughout the United States, the United Kingdom, Ireland, Spain and Japan. It focuses on adding value for its shareholders through opportunistic investing and strategic asset management. Its business operations include two core units: KW Investments and KW Services. KW Investments invests its capital in real estate-related assets. KW Services provides a full array of real estate-related services to owners and lenders, with a focus on financial institution based clients. In May 2014, it purchased apartments, 203-unit apartment community in Tacoma, Washington. In July 2014, it acquired multifamily portfolio consisted of three properties located across southern submarkets of Seattle, Washington. Portfolio consists of 1,212 units.",Kennedy Wilson,https://www.crunchbase.com/organization/kennedy-wilson,"Finance, Financial Services, Real Estate","Beverly Hills, California, United States","Kennedy-Wilson Holdings, Inc. is a vertically integrated global real estate investment and services company.",1,IPO,300000000,USD,300000000,"13,972",$100M to $500M,Active,1977-01-01,year,2007-12-14,day,For Profit,http://kennedywilson.com,251-500,,"Financial Services, Real Estate",Eldridge Industries,1,1,1,Made Acquisitions,Public,
"Founded by actor and director Joseph Gordon-Levitt, HITRECORD is a new kind of online community working together as a production company.  Since 2010 HITRECORD has developed into an innovative creative community; made up of over 600,000 artists from all over the world, and growing all the time.",HitRecord,https://www.crunchbase.com/organization/hitrecord,"Digital Entertainment, Film Production, Media and Entertainment","Glendale, California, United States",HitRecord is an open-collaborative production company.,1,Early Stage Venture,6400000,USD,6400000,"13,984",,Active,2004-01-01,year,,,For Profit,https://www.hitrecord.org/,1-10,1,"Media and Entertainment, Video","Advancit Capital, Kevin Lin, Javelin Venture Partners, Crosslink Capital, David Rogier",1,6,,,Private,
"LBI Media, Inc. engages in the ownership and operation of Spanish-language radio and television stations in California and Texas. As of December 31, 2006, it owned 21 radio stations, including 14 FM and 7 AM radio stations, as well as 4 television stations in Los Angeles, Houston, Dallas-Fort Worth, and San Diego. The company also owns television production facilities that are used to produce programming for company-owned television stations. Portions of this facility are also rented to independent third parties. LBI Media sells commercial airtime on its radio and television stations to local and national advertisers. The company was founded in 1987. It was formerly known as LBI Holdings II and changed its name to LBI Media, Inc. in 2002. The company is based in Burbank, California. LBI Media, Inc. operates as a subsidiary of LBI Media Holdings",Liberman Broadcasting,https://www.crunchbase.com/organization/liberman-broadcasting,"Broadcasting, Music, TV","Burbank, California, United States","LBI Media, Inc. engages in the ownership and operation of Spanish-language radio and television",1,,211526000,USD,211526000,"14,035",$100M to $500M,Active,1987-01-01,year,,,For Profit,http://lbimedia.com,501-1000,1,"Media and Entertainment, Music and Audio, Video",,,,,,Private,
"Gogii is a mobile communications service that enables users to text, talk, and share for free. The application is available on iOS, Android, and Windows platforms.  Also known as textPlus, it operations are based in Marina del Rey.",textPlus,https://www.crunchbase.com/organization/textplus,"Android, Communities, iOS, Messaging, Mobile","Marina Del Rey, California, United States","Gogii is a mobile communications service that enables users to text, talk, and share for free.",5,,53229009,USD,53229009,"14,044",$1M to $10M,Active,2007-12-01,day,,,For Profit,http://textplus.com,101-250,4,"Community and Lifestyle, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Platforms, Software","Kleiner Perkins, Matrix Partners, Upfront Ventures, The Raine Group",3,4,1,Made Acquisitions,Private,
"City Storage Systems is a Los Angeles-based startup that focuses on repurposing distressed real estate assets like parking lots or abandoned strip malls and turning them into spaces suited for new industries, such as food delivery or online retail.",City Storage Systems,https://www.crunchbase.com/organization/city-storage-systems,"Commercial Real Estate, Industrial, Real Estate","Los Angeles, California, United States",City Storage Systems is a startup that focuses on re-purposing distressed real estate assets.,1,,150000000,USD,150000000,"14,064",,Active,2016-01-01,year,,,For Profit,,11-50,1,Real Estate,10100 fund,1,1,,,Private,
"Cluster is transforming the way engineers are hired in the manufacturing industry. Based in Los Angeles, Cluster is the first U.S. marketplace matching Industry 4.0 skills to jobs in aviation, aerospace, defense and automotive companies in Southern California. For more information, visit www.clusterinc.com/.",Cluster,https://www.crunchbase.com/organization/cluster-a490,"Aerospace, Automotive, Career Planning, Employment, Human Resources, Industrial Manufacturing, Manufacturing, Recruiting","Los Angeles, California, United States","Connecting engineers to Industrial Tech careers in Aviation, Aerospace & Defense",1,Seed,1900000,USD,1900000,"14,160",Less than $1M,Active,2018-03-01,month,,,For Profit,http://www.clusterinc.com/,1-10,1,"Manufacturing, Professional Services, Science and Engineering, Transportation","Mark Cuban, Nat Turner, Mark Pincus, ECMC, Dan Rosensweig",2,7,,,Private,
"NantOmics, a molecular diagnostics company, develops molecular profiling solutions that identify personalized treatment options for cancer patients and their providers at the point of care. It offers GPS Cancer test that provides molecular profile of patient’s cancer to inform personalized treatment strategies to oncologists and OncoPlexDx Targeted Proteomic panel that provides quantitative protein biomarker information for multiple clinically relevant proteins yielding insights into the biology driving the growth of the patient’s cancer.  Patrick Soon-Shiong founded NantOmics in 2012, with its headquarters in Culver City in California. NantOmics operates as a subsidiary of NantWorks.",NantOmics,https://www.crunchbase.com/organization/nantomics,"Alternative Medicine, Biotechnology, Cloud Data Services, Genetics, Life Science","Culver City, California, United States",NantOmics develops cloud-based molecular profiling tools that help guide cancer patients.,1,Early Stage Venture,250800000,USD,250800000,"14,161",,Active,2012-01-01,year,,,For Profit,http://www.nantomics.com,,1,"Biotechnology, Health Care, Information Technology, Internet Services, Science and Engineering",NantHealth,1,1,2,Made Acquisitions,Private,
"Finli is an enterprise payment platform for the neighborhood business. Our simple, affordable, safe platform allows schools and service providers to transfer administrative tasks such as invoicing, payment collection, reconciliation, and customer management seamlessly.",Finli,https://www.crunchbase.com/organization/finli,Financial Services,"Los Angeles, California, United States",Finli is an enterprise payment platform for the neighborhood business,1,Seed,2000000,USD,2000000,"14,164",,Active,2019-01-01,year,,,For Profit,https://finli.com,1-10,1,Financial Services,"Techstars, Techstars Ventures, Core Innovation Capital, Techstars Los Angeles Accelerator, Emerson Collective",,6,,,Private,
"MiTú is a Latino lifestyle network focused on health, beauty, food, family, home, and pop culture. It aggregates videos 1,200 partners and attracts an audience that is generating 400 million views a month.",MiTu Network,https://www.crunchbase.com/organization/mitu-network,"Digital Media, Direct Marketing, Lifestyle","Santa Monica, California, United States","MiTú is a Latino lifestyle network focused on health, beauty, food, family, home, and pop culture.",3,Early Stage Venture,18000000,USD,18000000,"14,208",,Active,2012-04-01,day,,,For Profit,http://mituinc.com/,11-50,3,"Community and Lifestyle, Media and Entertainment, Sales and Marketing","Advancit Capital, Upfront Ventures, Daher Capital, AMC Networks, Northgate Capital",1,7,,,Private,
"Capricor Therapeutics, Inc. (Nasdaq:CAPR), is a biotechnology company focused on the discovery, development and commercialization of first-in-class therapeutics. As a developer of innovative therapies, Capricor Therapeutics is strategically positioned at the forefront of one of the largest segments of the U.S. healthcare industry − cardiovascular disease. Capricor Therapeutics’ lead product candidates currently target the prevention and treatment of heart failure and “myocardial infarction”, which make up a substantial portion of the $204.4 billion total estimated annual costs of cardiovascular disease in the U.S. Our lead cardiovascular programs target post myocardial infarction",Capricor Therapeutics,https://www.crunchbase.com/organization/capricor,"Biotechnology, Medical, Therapeutics","Los Angeles, California, United States","Capricor Therapeutics is a biotechnology company focused on the discovery, development and commercialization.",11,IPO,66700504,USD,66700504,"14,211",Less than $1M,Active,2005-01-01,year,2008-05-23,day,For Profit,http://www.capricor.com,11-50,1,"Biotechnology, Health Care, Science and Engineering","National Institutes of Health, Cedars Sinai Medical Center, Broadview Ventures, Beechwood Ventures, Calmedica",2,6,,,Public,
Matter makes it easier for creators to monetize content,Matter,https://www.crunchbase.com/organization/matter-music,"Independent Music, Media and Entertainment, Music, Music Streaming","Los Angeles, California, United States",beyond streaming,1,Seed,500000,USD,500000,"14,312",,Active,2019-02-01,month,,,For Profit,http://matter.online/,1-10,2,"Internet Services, Media and Entertainment, Music and Audio",,,,,,Private,
"Live Nation Entertainment Inc, the world’s leading live entertainment company, combines several entertainment brands, including Ticketmaster.com, Live Nation Concerts, the Live Nation and Live Nation Productions.   Live Nation began as SFX Entertainment, a part of SFX Broadcasting, and then became a division of Clear Channel Communications. It became its own entity in 2005 with Michael Rapino as President and CEO. Since then, Live Nation has provided live entertainment services to fans in over 40 countries around the world through promotion and hundreds of entertainment venues. Live Nation partnered with Ticketmaster, the global leader in live event ticketing, in 2010 to form Live Nation Entertainment. This relationship has allowed both companies to expand their reach to help more fans experience the power of live each year.   Live Nation Concerts produces over 35,000 live music events annually in conjunction with Live Nation Entertainment’s 4,000+ touring artists. Live Nation fully acquired Front Line Management Group in 2011, giving the company access to the artists it represents, now numbering over 500, including top acts such as Chicago, Alan Jackson and Jimmy Buffett. Each of these businesses supports the Live Nation Network, the leading provider of entertainment marketing solutions. Live Nation Network connects more than 1000 advertisers to its network of consumers through Live Nation live event and digital platforms. Live Nation Entertainment has recently focused investments on profitable music festivals and initiatives associated with them. Some of the festivals Live Nation Entertainment has a controlling stake in include Lollapalooza and Bonnaroo. They also have a partnership with Insomniac who runs the Electric Daisy Carnival. Part of these investments include upgrading facilities at the festivals, including adding permanent bathrooms and running water. Live Nation Entertainment has an international presence, which has allowed them to acquire businesses around the world including the House of Blues (2006), a United States concert promoter; Union Events in Canada (2016) and Mainland Music (2018), based in Switzerland. It has also gained majority interest in AC Entertainment (2016), the Sweden Rock Festival (2016), Australia’s Secret Sounds Group (2016) and DF Entertainment (2018).",Live Nation Entertainment,https://www.crunchbase.com/organization/live-nation-entertainment,"Concerts, Digital Entertainment, Event Management, Event Promotion, Events, Media and Entertainment, Ticketing","Beverly Hills, California, United States",Live Nation Entertainment is the global leader in live entertainment events and concert promotion.,,IPO,,,,"14,313",$1B to $10B,Active,2005-01-01,day,2005-12-23,day,For Profit,https://www.livenationentertainment.com/,10001+,,"Events, Media and Entertainment",,,,36,Made Acquisitions,Public,8
"BrainChip Holdings Limited, formerly Aziana Limited, is an Australia-based company, which is engaged in the development of neural computing technology. The Company focuses on its spiking neuron adaptive processor (SNAP) technology and licensing the SNAP technology with technology partners. The Company operates through the technological development of designs segment. The Company's SNAP offer a complete development solution for companies entering the neuromorphic semiconductor chip market. SNAP is a core enabling technology in Neuromorphic semiconductor chips that possesses various applications, such as gaming, cyber security, robotic technology and stock market forecasting, among others. SNAP also implements learning rules in hardware, enabling autonomous features extraction (AFE) directly from input data without the need for any software processing. Its subsidiaries include BrainChip Inc., AZK Merger Subsidiary Inc., Aziana Exploration Corporation and Eternal Resources Pty Ltd.",BrainChip,https://www.crunchbase.com/organization/brainchip-inc,"Artificial Intelligence, Robotics, Software","Aliso Viejo, California, United States",Leading provider of software and hardware accelerated  solutions for Advanced Artificial Intelligence and Machine Learning applications.,3,IPO,27841613,USD,27841613,"14,335",Less than $1M,Active,2006-01-01,year,2011-11-18,day,For Profit,http://www.brainchipinc.com/,11-50,2,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software",Metals X,,1,1,Made Acquisitions,Public,
"Revvsales is An intelligent SaaS product that enables fast growing companies to craft professional, beautiful error-free quotations.",Revvsales,https://www.crunchbase.com/organization/revvsales,"Information Technology, Internet, SaaS, Software","Walnut, California, United States","Revvsales is An intelligent SaaS product that enables fast growing companies to craft professional, beautiful error-free quotations.",2,,1999999,USD,1999999,"14,351",,Active,2018-01-01,year,,,,https://www.revvsales.com/,1-10,,"Information Technology, Internet Services, Software","Lightspeed India Partners, Arka Venture Labs",1,2,,,Private,
