"","id","Organization.Name","Organization.Name.URL","Industries","Headquarters.Location","Description","CB.Rank..Company.","Estimated.Revenue.Range","Founded.Date","Founded.Date.Precision","Industry.Groups","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Total.Funding.Amount.Currency","Total.Funding.Amount.Currency..in.USD.","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Amount.Currency","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks","Investment.Stage","Y"
"832",832,"Vertical Companies","https://www.crunchbase.com/organization/vertical-companies","Agriculture, Cannabis, Consumer Goods","Agoura Hills, California, United States","Vertical Companies introduces an entirely new perspective on the global cannabis market.",19216,"NA","2014-01-01","year","Agriculture and Farming, Community and Lifestyle, Consumer Goods, Food and Beverage, Health Care","1","251-500","1","5.8e+07","USD","5.8e+07","1","Private","NA","NA","NA","1","Early Stage Venture","2019-04-02","5.8e+07","USD","58000000","Series A","NA","NA","NA",0
"833",833,"Camera IQ","https://www.crunchbase.com/organization/camera-iq","Advertising, Apps, Augmented Reality, Marketing, Mobile Apps, Software, Telecommunications","Santa Monica, California, United States","Camera IQ is a camera experience manager platform.",19229,"$1M to $10M","2016-01-01","year","Advertising, Apps, Hardware, Mobile, Sales and Marketing, Software","2","NA","2","4300000","USD","4300000","9","Private","NA","NA","NA","1","Seed","2018-03-06","2e+06","USD","2000000","Seed","NA","NA","NA",0
"834",834,"Lucidity","https://www.crunchbase.com/organization/kr8os","Advertising, Advertising Platforms, Analytics, Blockchain, Mobile Advertising","Marina Del Rey, California, United States","Lucidity authenticates the details that make your media tick.",19282,"$1M to $10M","2017-08-01","month","Advertising, Data and Analytics, Sales and Marketing","3","11-50","1","5e+06","USD","5e+06","5","Private","NA","NA","NA","NA","NA","2018-08-15","5e+06","USD","5000000","Corporate Round","2","1","NA",0
"835",835,"AquaHydrate","https://www.crunchbase.com/organization/aquahydrate","Fashion, Food and Beverage, Health Care, Hospitality, Water, Water Purification","Los Angeles, California, United States","AQUAhydrate is performance water brand that delivers a healthy balance of alkalinity, electrolytes and trace minerals.",19287,"$10M to $50M","2004-01-01","year","Clothing and Apparel, Design, Food and Beverage, Health Care, Natural Resources, Sustainability, Travel and Tourism","3","51-100","2","2e+07","USD","2e+07","4","Private","NA","Was Acquired","NA","NA","M&A","2015-02-05","1e+07","USD","10000000","Debt Financing","0","6","NA",0
"836",836,"Spero Foods","https://www.crunchbase.com/organization/spero-foods-los-angeles-california","Food and Beverage, Food Processing, Marketing, Organic, Organic Food","Los Angeles, California, United States","Spero Foods produces and sells substitutes for dairy and eggs from plants.",19288,"NA","2016-01-01","year","Food and Beverage, Sales and Marketing, Sustainability","1","1-10","1","120000","USD","120000","2","Private","NA","NA","1","NA","Seed","2018-08-04","120000","USD","120000","Pre-Seed","0","2","NA",0
"837",837,"Acacia Research","https://www.crunchbase.com/organization/acacia-research","Financial Services, Intellectual Property","Newport Beach, California, United States","Acacia Research, through its subsidiaries, acquires, develops, licenses, and enforces patented technologies in the United States.",19292,"$1M to $10M","1993-01-01","year","Financial Services, Professional Services","NA","101-250","4","276100000","USD","276100000","1","Public","2002-12-27","Made Acquisitions","NA","1","IPO","2012-02-21","2.25e+08","USD","225000000","Post-IPO Equity","NA","NA","NA",0
"838",838,"MD Insider","https://www.crunchbase.com/organization/md-insider","Big Data, Health Care, Hospital, Machine Learning, Medical","Santa Monica, California, United States","Machine Learning Enabled Physician Performance Transparency",19306,"NA","2012-01-01","year","Artificial Intelligence, Data and Analytics, Health Care, Software","3","11-50","5","24300000","USD","24300000","6","Private","NA","Was Acquired","1","3","M&A","2015-12-16","1.2e+07","USD","12000000","Series B","5","5","NA",0
"839",839,"Cold Genesys","https://www.crunchbase.com/organization/cold-genesys","Biotechnology, Medical Device, Therapeutics","Santa Ana, California, United States","Cold Genesys is a clinical-stage biopharmaceutical company focused on the development of oncolytic immunotherapies to combat cancer.",19329,"NA","2010-01-01","year","Biotechnology, Health Care, Science and Engineering","1","11-50","3","45570000","USD","45570000","6","Private","NA","NA","NA","3","Late Stage Venture","2019-03-18","2.2e+07","USD","22000000","Series C","10","0","NA",0
"840",840,"CapLinked","https://www.crunchbase.com/organization/caplinked","Collaboration, Enterprise Software, Finance, Software","Redondo Beach, California, United States","CapLinked offers a cloud-based platform for coordinating on asset sales, financings, mergers and acquisitions with secure workspaces.",19361,"$1M to $10M","2010-01-01","year","Financial Services, Software","2","NA","6","10749977","USD","10749977","16","Private","NA","NA","NA","1","Early Stage Venture","2014-12-01","2400000","USD","2400000","Convertible Note","0","1","NA",0
"841",841,"Centaur Analytics","https://www.crunchbase.com/organization/centaur-analytics","Analytics, Information Services, Information Technology, Internet of Things","Ventura, California, United States","Sensors & IoT platform for the quality and safety of stored agricultural products.",19444,"NA","2014-01-01","year","Data and Analytics, Information Technology, Internet Services","4","11-50","2","4300000","USD","4300000","5","Private","NA","NA","2","2","Seed","2018-10-02","3e+06","USD","3000000","Seed","3","4","NA",0
"842",842,"Children’s Hospital Los Angeles","https://www.crunchbase.com/organization/children-s-hospital-los-angeles","Health Care","Los Angeles, California, United States","CHLA is L.A.'s first and largest hospital dedicated specifically to treating children throughout Southern California.",19476,"$1B to $10B","1901-04-01","day","Health Care","NA","1001-5000","2","30500000","USD","30500000","1","Private","NA","NA","NA","1","NA","2020-02-02","2.5e+07","USD","25000000","Grant","1","0","NA",0
"843",843,"Macro","https://www.crunchbase.com/organization/macro","Digital Media, Film, Media and Entertainment","Los Angeles, California, United States","Macro is a disruptive media company focused on the multicultural market.",19524,"NA","2015-01-05","day","Media and Entertainment, Video","1","11-50","2","1.5e+08","USD","1.5e+08","7","Private","NA","NA","NA","1","NA","2017-10-03","1.5e+08","USD","150000000","Undisclosed","0","1","NA",0
"844",844,"Cloud9","https://www.crunchbase.com/organization/cloud9","eSports, Gaming, Online Games, Sports","Los Angeles, California, United States","Cloud9 is a professional multi-game esports organization that is based in the Los Angeles, California area.",19542,"$1M to $10M","2013-05-23","day","Gaming, Sports","2","11-50","3","7.3e+07","USD","7.3e+07","25","Private","NA","NA","1","3","Early Stage Venture","2018-10-15","5e+07","USD","50000000","Series B","0","30","NA",0
"845",845,"PRØHBTD","https://www.crunchbase.com/organization/prohbtd","Cannabis, Consumer Goods, Content","Culver City, California, United States","PRØHBTD is a cannabis consumer goods and content company.",19557,"$1M to $10M","2014-10-01","day","Community and Lifestyle, Consumer Goods, Food and Beverage, Health Care, Media and Entertainment","3","51-100","3","8e+06","USD","8e+06","4","Private","NA","NA","NA","1","Early Stage Venture","2018-06-11","8e+06","USD","8000000","Series A","0","3","NA",0
"846",846,"Club Speed","https://www.crunchbase.com/organization/club-speed","Software","Corona, California, United States","Club Speed is a developer and operator of a cloud-based venue management and competitive timing system software.",19587,"NA","2005-01-01","year","Software","1","NA","1","2e+07","USD","2e+07","2","Private","NA","Was Acquired","NA","1","M&A","2019-04-23","2e+07","USD","20000000","Private Equity","0","4","NA",0
"847",847,"Chef'd","https://www.crunchbase.com/organization/chef-d","Cooking, Food Delivery","El Segundo, California, United States","Chef'd is great for anyone who enjoys cooking, wants to save time planning meals & grocery shopping.",19598,"$50M to $100M","2013-01-01","year","Food and Beverage, Transportation","2","101-250","2","40461000","USD","40461000","2","Private","NA","NA","NA","2","Early Stage Venture","2017-08-08","35211000","USD","35211000","Series B","NA","NA","NA",0
"848",848,"Avanir Pharmaceuticals","https://www.crunchbase.com/organization/avanir-pharmaceuticals","Biotechnology, Health Diagnostics, Medical Device","Aliso Viejo, California, United States","Avanir Pharmaceuticals is a biopharmaceutical company focused on providing medicines to patients with central nervous system disorders.",19607,"NA","1988-01-01","year","Biotechnology, Health Care, Science and Engineering","NA","101-250","2","46200000","USD","46200000","4","Delisted","2000-04-14","Was Acquired","NA","NA","M&A","2012-06-26","3e+07","USD","30000000","Debt Financing","11","19","NA",0
"849",849,"Branded Online","https://www.crunchbase.com/organization/branded-online","E-Commerce, Internet, Online Portals","Costa Mesa, California, United States","Branded Online is a dynamic technology company that delivers enterprise-class ecommerce, marketing, and logistics solutions to brands.",19715,"$1M to $10M","2009-01-01","year","Commerce and Shopping, Internet Services","2","101-250","2","8332996","USD","8332996","3","Private","NA","NA","NA","NA","NA","2017-06-14","4332996","USD","4332996","Venture - Series Unknown","0","8","NA",0
"850",850,"Epica International","https://www.crunchbase.com/organization/epica-international","Health Diagnostics, Medical Device, Robotics, Software","San Clemente, California, United States","Epica International designs, develops and distributes progressive robotic systems.",19732,"$10M to $50M","2013-01-01","year","Hardware, Health Care, Science and Engineering, Software","2","51-100","10","28400000","USD","28400000","2","Private","NA","NA","NA","2","Early Stage Venture","2019-05-24","3e+05","USD","300000","Convertible Note","18","0","NA",0
"851",851,"nimble","https://www.crunchbase.com/organization/nimble-79ed","Consumer, Consumer Electronics","Costa Mesa, California, United States","nimble is a  consumer tech brand committed to creating high-quality, eco-friendly tech products  ",19737,"Less than $1M","2018-01-01","year","Consumer Electronics, Hardware","1","1-10","2","2500000","USD","2500000","3","Private","NA","NA","NA","2","NA","2018-11-15","1e+06","USD","1000000","Debt Financing","0","4","NA",0
"852",852,"Bitium","https://www.crunchbase.com/organization/bitium","Cloud Computing, Cyber Security, Identity Management, SaaS, Security, Software","Santa Monica, California, United States","Bitium is a SaaS-based software operating system providing app management, single sign-on and analytics for cloud-based apps.",19788,"NA","2012-03-05","day","Information Technology, Internet Services, Privacy and Security, Software","2","11-50","4","14900000","USD","14900000","16","Private","NA","Was Acquired","2","3","M&A","2016-08-30","6e+06","USD","6000000","Venture - Series Unknown","NA","NA","NA",0
"853",853,"Breathe Technologies","https://www.crunchbase.com/organization/breathe-technologies","Health Care, Health Diagnostics, Therapeutics","Irvine, California, United States","Breathe Technologies provide healthcare providers and patients with respiratory therapies that optimize breathing and mobility.",19821,"$1M to $10M","2005-01-01","year","Health Care","3","51-100","6","56360001","USD","56360001","6","Private","NA","Was Acquired","NA","2","M&A","2017-10-31","6250001","USD","6250001","Venture - Series Unknown","85","17","NA",0
"854",854,"Johnnie-O","https://www.crunchbase.com/organization/johnnie-o","Fashion, Retail, Shopping","Santa Monica, California, United States","Johnnie-O is a retail business specializing in West Coast Prep style clothing.",19863,"NA","2005-01-01","year","Clothing and Apparel, Commerce and Shopping, Design","1","11-50","5","23480381","USD","23480381","NA","Private","NA","NA","NA","NA","NA","2019-01-18","4281000","USD","4281000","Venture - Series Unknown","0","18","NA",0
"855",855,"CloudSight Inc.","https://www.crunchbase.com/organization/cloudsight","Artificial Intelligence, Image Recognition, Mobile Apps, Software, Visual Search","Los Angeles, California, United States","CloudSight's mission is to make AI see.",19903,"NA","2012-01-01","year","Apps, Artificial Intelligence, Data and Analytics, Internet Services, Mobile, Science and Engineering, Software","2","11-50","11","7545000","USD","7545000","5","Private","NA","NA","NA","NA","NA","2016-07-01","475000","USD","475000","Convertible Note","1","1","NA",0
"856",856,"CU Direct","https://www.crunchbase.com/organization/cu-direct","Lending, Retail, Robotics","Ontario, California, United States","CU Direct helps credit unions, dealers and affinity groups succeed.",19937,"$50M to $100M","1994-01-01","year","Commerce and Shopping, Financial Services, Hardware, Science and Engineering, Software","NA","251-500","1","1035000","USD","1035000","NA","Private","NA","NA","NA","NA","NA","2018-08-17","1035000","USD","1035000","Venture - Series Unknown","0","13","NA",0
"857",857,"Fox Rent A Car, Inc.","https://www.crunchbase.com/organization/fox-rent-a-car-inc","Car Sharing, Rental","Los Angeles, California, United States","Fox Rent A Car is a value-based car rental brand catering to airport travelers.",19942,"$100M to $500M","1989-01-01","year","Commerce and Shopping, Transportation","2","501-1000","1","2.5e+07","USD","2.5e+07","2","Private","NA","Made Acquisitions","NA","1","NA","2017-07-21","2.5e+07","USD","25000000","Venture - Series Unknown","0","2","NA",0
"858",858,"Lantronix","https://www.crunchbase.com/organization/lantronix","Hardware, Internet of Things, IT Infrastructure, Network Security, Software","Irvine, California, United States","Lantronix is a global provider of smart IoT (Internet of Things) solutions.",19960,"$10M to $50M","1989-01-01","year","Hardware, Information Technology, Internet Services, Privacy and Security, Software","1","101-250","2","6500000","USD","6500000","NA","Public","2000-08-11","Made Acquisitions","13","NA","IPO","2016-06-20","2e+06","USD","2000000","Venture - Series Unknown","41","51","NA",0
"859",859,"CurbStand","https://www.crunchbase.com/organization/curbstand","Automotive, FinTech, Mobile, Mobile Payments, Parking, Public Transportation, Transportation, Travel","West Hollywood, California, United States","Seamless, cashless valet parking in Los Angeles. Pay & tip right from your phone.",19963,"NA","2013-01-01","year","Financial Services, Mobile, Payments, Software, Transportation, Travel and Tourism","4","11-50","5","5100000","USD","5100000","1","Private","NA","Made Acquisitions","NA","NA","Seed","2015-12-25","6e+05","USD","600000","Seed","0","2","NA",0
"860",860,"MFour Mobile Research","https://www.crunchbase.com/organization/mfour","Consumer Applications, Market Research, Mobile Apps, Personal Branding, Product Research","Irvine, California, United States","MFour Mobile Research is a developer of mobile survey and research software",19964,"$1M to $10M","2001-01-01","year","Apps, Data and Analytics, Design, Mobile, Sales and Marketing, Software","2","51-100","1","5e+06","USD","5e+06","2","Private","NA","NA","1","1","Early Stage Venture","2017-04-11","5e+06","USD","5000000","Series B","0","8","NA",0
"861",861,"DNA Genetics","https://www.crunchbase.com/organization/dna-genetics","Brand Marketing, Cannabis","Los Angeles, California, United States","DNA Genetics a globally recognized leading cannabis brand.",19994,"NA","2004-01-01","year","Community and Lifestyle, Food and Beverage, Health Care, Sales and Marketing","2","NA","1","3.5e+07","USD","3.5e+07","1","Private","NA","NA","NA","1","NA","2018-12-03","3.5e+07","USD","35000000","Corporate Round","0","97","NA",0
"862",862,"Eton Pharmaceuticals","https://www.crunchbase.com/organization/eton-pharmaceuticals","Biopharma, Biotechnology, Health Care, Pharmaceutical","Studio City, California, United States","Eton Is focused on the development and commercialization of innovative sterile injectable product candidates utilizing.",20020,"$500M to $1B","2017-01-01","year","Biotechnology, Health Care, Science and Engineering","1","NA","1","2e+07","USD","2e+07","NA","Public","2018-11-12","NA","NA","NA","IPO","2017-06-20","2e+07","USD","20000000","Series A","NA","NA","NA",0
"863",863,"F/ELD","https://www.crunchbase.com/organization/f-eld","Cannabis","Los Angeles, California, United States","F/ELD is a cannabis brand focused on the ""ultra premium"" portion of the cannabis market.",20046,"NA","2015-01-01","year","Community and Lifestyle, Food and Beverage, Health Care","1","NA","1","6e+06","USD","6e+06","2","Private","NA","Was Acquired","NA","1","M&A","2018-09-20","6e+06","USD","6000000","Venture - Series Unknown","NA","NA","NA",0
"864",864,"Lantern Credit","https://www.crunchbase.com/organization/neft","Credit, Financial Services, FinTech","Newport Beach, California, United States","Lantern Credit, LLC is a financial technology company working to solve systemic inefficiencies in the consumer credit market.",20094,"$1M to $10M","2013-01-01","year","Financial Services, Lending and Investments","2","11-50","1","4.2e+07","USD","4.2e+07","1","Private","NA","NA","2","1","Early Stage Venture","2015-09-10","4.2e+07","USD","42000000","Series A","1","0","NA",0
"865",865,"17hats","https://www.crunchbase.com/organization/17hats","Internet, Internet of Things, Project Management, Software","Los Angeles, California, United States","17hats is the complete system that helps automate, organize, and optimize small business management for freelancers and entrepreneurs.",20152,"NA","2014-01-01","year","Internet Services, Software","2","11-50","4","5250000","USD","5250000","3","Private","NA","NA","1","1","Early Stage Venture","2017-08-08","NA","NA","NA","Series A","0","1","NA",0
"866",866,"Curri","https://www.crunchbase.com/organization/curri","Building Material, Construction, Delivery Service","Ventura, California, United States","Curri delivers construction supplies and materials.",20236,"NA","2018-01-01","year","Real Estate, Transportation","1","1-10","1","150000","USD","150000","1","Private","NA","NA","NA","1","Seed","2019-08-19","150000","USD","150000","Seed","0","2","NA",0
"867",867,"W4","https://www.crunchbase.com/organization/w4","Advertising, Brand Marketing, Lead Generation, Sports","Santa Monica, California, United States","W4 provides business process management solutions through an expansive network of publishers.",20244,"NA","2009-01-01","year","Advertising, Sales and Marketing, Sports","4","11-50","1","1e+07","USD","1e+07","1","Private","NA","Was Acquired","1","1","M&A","2011-06-20","1e+07","USD","10000000","Debt Financing","NA","NA","NA",0
"868",868,"VYRL","https://www.crunchbase.com/organization/vyrl","Big Data, Digital Marketing, E-Commerce, Marketing Automation, Social Media Marketing","Irvine, California, United States","VYRL is building the biggest E-commerce Network in the world.",20250,"NA","2015-10-15","day","Commerce and Shopping, Data and Analytics, Sales and Marketing, Software","2","11-50","3","3065000","USD","3065000","7","Private","NA","NA","NA","2","Early Stage Venture","2019-06-01","NA","NA","NA","Series A","0","9","NA",0
"869",869,"FameBit","https://www.crunchbase.com/organization/famebit","Advertising, Marketing, Social Network","Santa Monica, California, United States","Fame Bit is a YouTube marketing platform where brands collaborate with YouTube influencers and create videos.",20267,"NA","2013-01-01","year","Advertising, Internet Services, Sales and Marketing","2","11-50","2","1500000","USD","1500000","6","Private","NA","Made Acquisitions, Was Acquired","7","NA","M&A","2014-06-20","1500000","USD","1500000","Seed","NA","NA","NA",0
"870",870,"The Hollywood Reporter","https://www.crunchbase.com/organization/the-hollywood-reporter","Celebrity, Events, Film, Law Enforcement, Music, News, Photography, Video","Los Angeles, California, United States","The Hollywood Reporter is an online platform, providing entertainment news, reviews, videos, and analysis for its users.",20300,"NA","1930-09-03","day","Content and Publishing, Events, Government and Military, Media and Entertainment, Music and Audio, Privacy and Security, Video","NA","251-500","NA","NA","NA","NA","NA","Private","NA","Made Acquisitions","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0
"871",871,"Snipfeed","https://www.crunchbase.com/organization/jenyai","Media and Entertainment, Mobile","Los Angeles, California, United States","ALL YOUR FAVORITE CONTENT IN ONE PLACE",20309,"NA","2018-01-01","day","Media and Entertainment, Mobile","3","1-10","3","7e+05","USD","7e+05","8","Private","NA","NA","NA","NA","Seed","2019-07-01","3e+05","USD","300000","Pre-Seed","NA","NA","NA",0
"872",872,"CUDDLY Inc.","https://www.crunchbase.com/organization/poundwishes-inc-","Crowdfunding, Information Technology, Pet","Seal Beach, California, United States","CUDDLY is a fundraising platform serving animal rescue and shelter partners worldwide.",20318,"NA","2014-01-01","day","Community and Lifestyle, Financial Services, Information Technology","2","1-10","7","2530000","USD","2530000","3","Private","NA","NA","NA","2","Seed","2018-12-01","1080000","USD","1080000","Seed","0","7","NA",0
"873",873,"DataHero","https://www.crunchbase.com/organization/datahero","Analytics, Big Data, Business Intelligence, Data Visualization, Software","Santa Monica, California, United States","DataHero is a leading cloud business intelligence software platform that specializes in data visualization and data dashboards.",20324,"NA","2011-10-01","day","Data and Analytics, Design, Information Technology, Software","1","1-10","5","10250000","USD","10250000","9","Private","NA","Was Acquired","NA","1","M&A","2015-06-15","NA","NA","NA","Secondary Market","NA","NA","NA",0
"874",874,"Biolase","https://www.crunchbase.com/organization/biolase","3D Printing, Biotechnology, Health Care, Medical Device","Irvine, California, United States","Biolase develops lasers and related products for providing biological treatments that reduce pain.",20325,"$1M to $10M","1987-01-01","year","Biotechnology, Health Care, Manufacturing, Science and Engineering","NA","251-500","6","77024004","USD","77024004","4","Public","2003-06-10","NA","NA","1","IPO","2018-03-08","6e+06","USD","6000000","Post-IPO Debt","122","59","NA",0
"875",875,"LaunchRock","https://www.crunchbase.com/organization/launchrock","Enterprise Software, SaaS, Social Media","Walnut, California, United States","LaunchRock is an online platform that enables its users to create viral ""Launching Soon"" pages with built in sharing tools and analytics.",20348,"NA","2011-01-28","day","Internet Services, Media and Entertainment, Software","4","51-100","1","8e+05","USD","8e+05","8","Private","NA","Made Acquisitions, Was Acquired","1","NA","M&A","2011-11-08","8e+05","USD","800000","Seed","NA","NA","NA",0
"876",876,"Boon","https://www.crunchbase.com/organization/boon-2","College Recruiting, Human Resources, Recruiting, Social Media, Social Recruiting","Los Angeles, California, United States","Game-changing referral engagement network",20364,"$1M to $10M","2016-01-01","year","Administrative Services, Education, Internet Services, Media and Entertainment, Professional Services","3","1-10","9","670304","USD","670304","4","Private","NA","NA","4","NA","Seed","2018-08-01","NA","NA","NA","Non-equity Assistance","0","2","NA",0
"877",877,"Cinq Music","https://www.crunchbase.com/organization/cinq-music","Music, Music Label, Music Streaming","Santa Monica, California, United States","Cinq is a record label and music distribution company that provides rights management and brand management services.",20373,"$1M to $10M","2012-01-01","year","Internet Services, Media and Entertainment, Music and Audio","1","11-50","3","6e+07","USD","6e+07","1","Private","NA","NA","NA","1","Late Stage Venture","2019-08-13","4e+07","USD","40000000","Series C","0","1","NA",0
"878",878,"Chill","https://www.crunchbase.com/organization/chill","E-Commerce, Social Network, Video","Los Angeles, California, United States","Chill is social video discovery platform.",20393,"NA","2010-01-01","year","Commerce and Shopping, Internet Services, Media and Entertainment, Video","2","1-10","2","9500000","USD","9500000","5","Private","NA","NA","NA","NA","Early Stage Venture","2012-06-27","8e+06","USD","8000000","Series A","0","12","NA",0
"879",879,"Liquidata","https://www.crunchbase.com/organization/liquidata","Big Data, Database, Information Technology, Internet, Software","Santa Monica, California, United States","Liquidata is a software company that builds an open source database called Dolt, a SQL database with native Git versioning.",20406,"NA","2018-04-13","day","Data and Analytics, Information Technology, Internet Services, Software","3","11-50","1","2e+06","USD","2e+06","1","Private","NA","NA","NA","1","Seed","2019-01-16","2e+06","USD","2000000","Seed","NA","NA","NA",0
"880",880,"friendbuy","https://www.crunchbase.com/organization/friendbuy","Digital Marketing, E-Commerce, Enterprise Software, Retail Technology, SaaS","Los Angeles, California, United States","Powering referral marketing for the hottest companies in e-commerce.",20418,"NA","2010-01-01","year","Commerce and Shopping, Hardware, Sales and Marketing, Software","1","11-50","2","1800000","USD","1800000","5","Private","NA","NA","NA","NA","Seed","2018-02-16","5e+05","USD","500000","Debt Financing","0","1","NA",0
"881",881,"Ocean Freight Exchange","https://www.crunchbase.com/organization/ocean-freight-exchange","E-Commerce","Los Angeles, California, United States","AI-marketplace for the non-containerized dry bulk, tanker, and gas freight markets.",20432,"$1M to $10M","2015-01-01","year","Commerce and Shopping","2","11-50","1","3300000","USD","3300000","3","Private","NA","NA","NA","1","Seed","2018-07-01","3300000","USD","3300000","Seed","NA","NA","NA",0
"882",882,"Thrive Causemetics","https://www.crunchbase.com/organization/thrive-causemetics","Beauty, Charity, Cosmetics","Los Angeles, California, United States","Thrive Causemetics offers cosmetics that are cruelty-free, vegan, and formulated with safe ingredients.",20446,"NA","2013-01-01","year","Consumer Goods","1","11-50","2","260000","USD","260000","1","Private","NA","NA","NA","1","Seed","2015-11-13","165000","USD","165000","Angel","0","7","NA",0
"883",883,"Tagnos","https://www.crunchbase.com/organization/tagnos","Health Care, Hospital, Real Time","Irvine, California, United States","Tagnos are a team committed to working with healthcare organizations to simplify the hospital-patient experience.",20457,"NA","2005-01-01","year","Health Care","1","11-50","4","5500000","USD","5500000","6","Private","NA","NA","NA","3","NA","2018-06-07","NA","NA","NA","Venture - Series Unknown","NA","NA","NA",0
"884",884,"Terran Orbital","https://www.crunchbase.com/organization/terran-orbital","Aerospace, Machinery Manufacturing, Manufacturing, Satellite Communication","Irvine, California, United States","Terran Orbital are the leading innovators and providers of picosatellites, cubesats, and nanosatellites.",20699,"$1M to $10M","2013-01-01","year","Hardware, Manufacturing, Science and Engineering","2","101-250","2","43040000","USD","43040000","3","Private","NA","NA","NA","NA","Early Stage Venture","2018-08-06","36040000","USD","36040000","Series B","0","2","NA",0
"885",885,"Kush Bottles","https://www.crunchbase.com/organization/kush-bottles","Cannabis, Logistics, Medical","Santa Ana, California, United States","Leading supplier of custom child resistant packaging for the marijuana industry",20771,"$10M to $50M","2010-12-01","day","Community and Lifestyle, Food and Beverage, Health Care, Transportation","4","11-50","5","44169000","USD","44169000","2","Public","2016-01-08","Made Acquisitions","NA","1","IPO","2018-06-12","3.6e+07","USD","36000000","Post-IPO Equity","1","0","NA",0
"886",886,"Tenzo Tea","https://www.crunchbase.com/organization/tenzo-tea","Retail, Wholesale","Los Angeles, California, United States","Tenzo Tea - Feel the Healthy Energy. ",20782,"Less than $1M","2016-07-01","day","Commerce and Shopping","2","11-50","1","250000","USD","250000","NA","Private","NA","NA","NA","NA","Seed","2017-09-01","250000","USD","250000","Seed","0","3","NA",0
"887",887,"iTrustCapital Inc.","https://www.crunchbase.com/organization/itrustcapital-inc","Cryptocurrency, Financial Services, FinTech, Trading Platform","Los Angeles, California, United States","Digital asset trading platform to trade Cryptocurrencies and Physical Gold real-time, 24/ in retirement accounts.",20790,"NA","2018-01-01","year","Financial Services, Lending and Investments, Payments, Software","3","11-50","2","3e+06","USD","3e+06","1","Private","NA","NA","NA","NA","Seed","2019-01-01","2e+06","USD","2000000","Seed","NA","NA","NA",0
"888",888,"Avata Intelligence","https://www.crunchbase.com/organization/avata-intelligence","Artificial Intelligence, Machine Learning, Natural Language Processing, SaaS","Venice, California, United States","Avata Intelligence provides a Natural Language Assistant (NLA) that automates your information tasks.",20799,"NA","2013-01-01","year","Artificial Intelligence, Data and Analytics, Science and Engineering, Software","4","11-50","1","2500000","USD","2500000","1","Private","NA","Was Acquired","NA","NA","M&A","2016-06-07","2500000","USD","2500000","Seed","0","2","NA",0
"889",889,"Digitzs","https://www.crunchbase.com/organization/digitzs","Digital Media, Internet, Payments","Santa Monica, California, United States","We make payments painless for apps, marketplaces and platforms.",20835,"$1M to $10M","2014-04-01","day","Financial Services, Internet Services, Media and Entertainment, Payments","9","1-10","6","8550000","USD","8550000","2","Private","NA","NA","NA","NA","NA","2017-06-15","3600000","USD","3600000","Venture - Series Unknown","1","2","NA",0
"890",890,"Akana","https://www.crunchbase.com/organization/soa-software","Cloud Data Services, Cloud Security, Developer APIs, Software","Los Angeles, California, United States","Akana provides a comprehensive suite of API management/security.",20840,"NA","2001-01-01","year","Information Technology, Internet Services, Privacy and Security, Software","1","51-100","3","2.1e+07","USD","2.1e+07","7","Private","NA","Made Acquisitions, Was Acquired","9","1","M&A","2014-03-28","1e+07","USD","10000000","Undisclosed","35","0","NA",0
"891",891,"PopID","https://www.crunchbase.com/organization/popid","Computer, Identity Management, Software","Los Angeles, California, United States","PopID provides solutions for verifying an individual’s identity based on their face for applications such as loyalty, payment, and entry.",20866,"NA","2016-01-01","year","Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","1","1-10","1","5e+06","USD","5e+06","2","Private","NA","NA","NA","1","Early Stage Venture","2019-04-19","5e+06","USD","5000000","Series A","0","9","NA",0
"892",892,"ParkMe","https://www.crunchbase.com/organization/parking-in-motion","Analytics, Android, Big Data, iOS, Mobile, Mobile Payments, Parking","Santa Monica, California, United States","ParkMe provides parking information to app developers, map makers, and GPS navigation companies.",20887,"NA","2009-01-01","year","Data and Analytics, Financial Services, Mobile, Payments, Platforms, Software, Transportation","2","11-50","2","8297000","USD","8297000","3","Private","NA","Was Acquired","NA","2","M&A","2012-10-31","7400000","USD","7400000","Series A","NA","NA","NA",0
"893",893,"One Step Software","https://www.crunchbase.com/organization/one-step","Real Estate, Rehabilitation, Software, Wellness","Los Angeles, California, United States","One Step is a fast growing technology company in the sober living space.",20892,"NA","2017-06-01","day","Health Care, Real Estate, Software","1","1-10","3","1100000","USD","1100000","12","Private","NA","NA","NA","NA","Seed","2018-07-01","1e+06","USD","1000000","Seed","0","7","NA",0
"894",894,"myDevices","https://www.crunchbase.com/organization/mydevices","Computer, Internet, Internet of Things, Software","Calabasas, California, United States","myDevices is an online platform that provides its users with personalized IoT solutions.",20896,"NA","2013-01-01","year","Consumer Electronics, Hardware, Internet Services, Software","1","11-50","1","3e+06","USD","3e+06","1","Private","NA","NA","1","1","Early Stage Venture","2017-01-06","3e+06","USD","3000000","Series A","0","4","NA",0
