"","Y","id","Organization.Name","CB.Rank..Company.","Headquarters.Location","Industry.Groups","Description","Estimated.Revenue.Range","Founded.Date","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks"
"949",0,949,"Wrazel",22258,"Irvine, California, United States","Commerce and Shopping, Community and Lifestyle, Financial Services, Food and Beverage, Health Care, Internet Services, Lending and Investments","Cannabis Industry B2B Directory & Investment Marketplace","NA","1/1/2018","1","11-50",2,3500000,"NA","Private","NA","NA",NA,NA,"Seed","3/1/2019","3000000","Seed","NA","NA"
"950",0,950,"LoanNow",22271,"Santa Ana, California, United States","Financial Services, Lending and Investments","Our mission is to help good people get better loans.","$1M to $10M","6/1/2013","2","11-50",2,5.6e+07,"NA","Private","NA","NA",NA,NA,"Seed","1/6/2016","50000000","Debt Financing","0","2"
"951",0,951,"Mindshow",22290,"Los Angeles, California, United States","Hardware, Internet Services, Software","Mindshow is an app for creating, sharing, and experiencing shows in VR.","$1M to $10M","1/1/2015","5","11-50",1,6e+06,"7","Private","NA","NA",2,1,"Early Stage Venture","3/23/2016","6000000","Series A","12","2"
"952",0,952,"inMarket",22332,"Venice, California, United States","Advertising, Apps, Commerce and Shopping, Data and Analytics, Hardware, Internet Services, Mobile, Navigation and Mapping, Sales and Marketing, Software","By applying machine learning to unprecedented 360 degree data, inMarket identifies and reaches consumers when they are most receptive.","$1M to $10M","4/1/2010","2","51-100",1,1e+06,"2","Private","NA","Made Acquisitions",3,NA,"Early Stage Venture","8/1/2010","1000000","Series A","5","13"
"953",0,953,"BLAZE™",22342,"Newport Beach, California, United States","Commerce and Shopping, Consumer Electronics, Hardware, Software","BLAZE™ is an enterprise resource planning platform for the legal cannabis industry","NA","1/1/2016","1","11-50",1,1500000,"1","Private","NA","NA",NA,1,"Seed","7/25/2019","1500000","Seed","NA","NA"
"954",0,954,"Specific Media",22360,"Irvine, California, United States","Advertising, Commerce and Shopping, Media and Entertainment, Sales and Marketing","Specific Media is a next generation media platform company that enables brands to seamlessly connect with consumers from anywhere.","$10M to $50M","7/1/2000","3","501-1000",6,130868275,"4","Private","NA","Made Acquisitions",NA,3,"NA","1/1/2012","NA","Secondary Market","0","1"
"955",0,955,"University of Southern California",22377,"Los Angeles, California, United States","Education","The University of Southern California (USC) is a private research university in Los Angeles, California founded in 1880.","Less than $1M","1/1/1880","NA","10001+",NA,NA,"NA","Private","NA","NA",6,NA,"NA",NA,"NA","NA","1,193","89"
"956",0,956,"Chideo",22415,"Los Angeles, California, United States","Content and Publishing, Internet Services, Media and Entertainment, Mobile, Video","Interactive platform helping charities","$10M to $50M","8/1/2013","1","11-50",1,9100000,"NA","Private","NA","Made Acquisitions",NA,NA,"NA","4/22/2014","9100000","Venture - Series Unknown","0","5"
"957",0,957,"ShiftPixy",22495,"Irvine, California, United States","NA","A powerful scheduling and recruiting platform","$50M to $100M","1/1/2015","1","11-50",2,2429640,"NA","Public","2017-06-30","NA",NA,NA,"IPO","2/13/2017","397000","Seed","1","3"
"958",0,958,"Nkmax",22514,"Santa Ana, California, United States","Biotechnology, Science and Engineering","Nkmax is restoring immune function through the development of unique natural killer (NK) cell therapies.","NA","1/1/2017","NA","11-50",1,1.1e+07,"NA","Private","NA","NA",NA,NA,"Seed","12/17/2019","11000000","Seed","NA","NA"
"959",0,959,"Vive Organic",22534,"Venice, California, United States","Sustainability","Vive Organic is dedicated to providing the highest quality, which extends far beyond our USDA Organic and Kosher Certifications.","NA","12/1/2015","3","NA",1,7e+06,"4","Private","NA","NA",NA,1,"Early Stage Venture","11/1/2018","7000000","Series A","0","2"
"960",0,960,"Waiakea Water",22549,"Los Angeles, California, United States","Consumer Goods, Health Care, Natural Resources, Sustainability","Waiakea Hawaiian Volcanic Water | Healthy, Sustainable, Ethical","$1M to $10M","6/1/2012","1","11-50",1,5500000,"NA","Private","NA","NA",1,NA,"NA","6/2/2016","5500000","Venture - Series Unknown","0","10"
"961",0,961,"Recargo",22552,"El Segundo, California, United States","Apps, Energy, Mobile, Software, Sustainability, Transportation","Electric vehicle service provider","NA","1/1/2010","1","11-50",1,2e+06,"NA","Private","NA","Made Acquisitions, Was Acquired",NA,NA,"M&A","4/23/2013","2000000","Seed","18","8"
"962",0,962,"Aadi Bioscience",22589,"Pacific Palisades, California, United States","Biotechnology, Health Care, Science and Engineering","Aadi Bioscience is a clinical stage biopharmaceutical company .","$1M to $10M","9/30/2011","1","NA",1,2.3e+07,"6","Private","NA","NA",NA,1,"Early Stage Venture","5/8/2017","23000000","Series A","0","7"
"963",0,963,"Corent Technology",22632,"Aliso Viejo, California, United States","Internet Services, Software","Corent Technology provides SurPaaS which is a SaaS transformation and software delivery platform for a range of companies.","$1M to $10M","1/1/2000","1","51-100",4,11289000,"NA","Private","NA","NA",NA,NA,"NA","12/23/2014","2149000","Venture - Series Unknown","9","3"
"964",0,964,"Synoptek",22637,"Irvine, California, United States","Information Technology, Professional Services, Software","Global systems integrator, Managed IT services provider, IT management, Consultancy services.","NA","1/1/2001","NA","501-1000",2,1285000,"1","Private","NA","Made Acquisitions, Was Acquired",3,NA,"M&A","2/2/2016","NA","Private Equity","0","7"
"965",0,965,"Bottlenose",22661,"Sherman Oaks, California, United States","Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Bottlenose is a cognitive computing company that makes data analysis easy so businesses can benefit from key insights in real time.","$1M to $10M","12/1/2010","2","11-50",10,24299999,"21","Private","NA","NA",3,2,"NA","1/7/2016","4099999","Venture - Series Unknown","6","7"
"966",0,966,"Ellipse Technologies",22674,"Aliso Viejo, California, United States","Biotechnology, Health Care, Manufacturing, Science and Engineering","Ellipse Technologies develops implantable technologies for the treatment of a broad spectrum of spine and orthopedic applications.","NA","1/1/2005","1","51-100",5,38869715,"4","Private","NA","Was Acquired",NA,2,"M&A","6/29/2015","10000000","Convertible Note","1","11"
"967",0,967,"Ritter Pharmaceuticals",22711,"Los Angeles, California, United States","Biotechnology, Hardware, Health Care, Science and Engineering, Software","Ritter Pharmaceuticals discovers and commercializes treatments for gastrointestinal diseases.","Less than $1M","1/1/2004","1","11-50",8,22800479,"2","Public","2015-04-24","NA",NA,2,"IPO","12/21/2015","10000000","Post-IPO Equity","16","0"
"968",0,968,"Notify",22722,"Los Angeles, California, United States","Apps, Consumer Electronics, Hardware, Internet Services, Software","Notify is a platform that allows you to subscribe directly to content creators.","NA","4/1/2018","4","1-10",1,1e+06,"3","Private","NA","NA",NA,1,"Seed","11/28/2019","1000000","Pre-Seed","NA","NA"
"969",0,969,"Thrilling",22761,"Los Angeles, California, United States","Commerce and Shopping","Thrilling puts your favorite vintage and secondhand clothing stores online.","NA","7/1/2018","2","1-10",1,2100000,"1","Private","NA","NA",NA,1,"Seed","7/17/2019","2100000","Seed","NA","NA"
"970",0,970,"Coda Automotive",22773,"Los Angeles, California, United States","Energy, Manufacturing, Transportation","CODA Automotive designs and semi manufactures lithium-iron phosphate battery systems for automotive and power storage utility applications.","$10M to $50M","1/1/2009","2","51-100",5,2.29e+08,"8","Private","NA","Made Acquisitions",NA,1,"Late Stage Venture","9/20/2011","41000000","Series D","0","5"
"971",0,971,"Vision Esports",22784,"Beverly Hills, California, United States","Financial Services, Lending and Investments","Vision Esports is an esports investment fund and management company.","$1M to $10M","1/1/2016","3","NA",1,3.8e+07,"6","Private","NA","NA",NA,1,"NA","2/22/2018","38000000","Venture - Series Unknown","NA","NA"
"972",0,972,"Trendy Butler",22799,"Los Angeles, California, United States","Clothing and Apparel, Community and Lifestyle, Design","Trendy Butler is a diverse men's apparel subscription service that gives members a box of the newest, most fashionable clothing.","$1M to $10M","1/1/2015","2","11-50",5,2350000,"6","Private","NA","NA",NA,1,"Early Stage Venture","4/19/2018","NA","Series A","0","3"
"973",0,973,"Bryn Pharma",22801,"Beverly Hills, California, United States","Health Care, Manufacturing","Epi-Now is an entity formed to develop and manufacture a 21st century alternative to the Epi-Pen.","NA","1/1/2017","2","NA",3,43951965,"NA","Private","NA","NA",NA,NA,"NA","10/24/2019","17500000","Venture - Series Unknown","4","13"
"974",0,974,"Termius",22811,"Walnut, California, United States","Information Technology, Mobile","Termius allows the user to organize hosts into groups, using end-to-end encryption to ensure the data remains safe and secure.","NA","1/1/2018","2","NA",1,2735000,"4","Private","NA","NA",NA,NA,"Seed","6/21/2019","2735000","Seed","NA","NA"
"975",0,975,"Lumasol",22823,"Los Angeles, California, United States","Health Care","Lumasol is a health technology company","NA","1/1/2019","1","NA",1,3e+06,"2","Private","NA","NA",NA,NA,"Seed","9/23/2019","3000000","Seed","NA","NA"
"976",0,976,"Tellie.tv",22828,"Los Angeles, California, United States","Apps, Internet Services, Media and Entertainment, Mobile, Software, Video","Mobile livestreaming entertainment","NA","1/1/2017","2","11-50",1,3e+06,"4","Private","NA","NA",NA,NA,"Seed","11/13/2018","3000000","Seed","NA","NA"
"977",0,977,"FairClaims",22830,"Los Angeles, California, United States","Professional Services, Software","FairClaims is an online dispute resolution platform for enterprise.","NA","7/1/2014","2","11-50",4,2360000,"12","Private","NA","NA",NA,1,"Seed","8/20/2018","NA","Seed","1","6"
"978",0,978,"Gone",22833,"Walnut, California, United States","Commerce and Shopping, Design, Mobile, Transportation","Gone offers you the most value for electronics and gadgets you no longer use without the hassles of pricing, listing, or shipping.","$1M to $10M","1/1/2013","4","11-50",6,1900000,"12","Private","NA","Made Acquisitions",NA,1,"Seed","4/22/2015","1000000","Seed","NA","NA"
"979",0,979,"Fuhu",22924,"El Segundo, California, United States","Apps, Consumer Electronics, Hardware, Software","Fuhu is a designer and seller of cloud-served software, apps and products and services for children.","NA","1/1/2006","3","501-1000",5,66248970,"8","Private","NA","Was Acquired",NA,1,"M&A","4/21/2014","26999982","Series D","NA","NA"
"980",0,980,"YouMail",22959,"Irvine, California, United States","Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","YouMail has developed a feature-rich, easy to use visual voicemail app, for your phone, tablet, or computer.","$10M to $50M","1/1/2007","3","1-10",9,19925000,"5","Private","NA","NA",NA,3,"Early Stage Venture","3/3/2015","5500000","Series B","7","4"
"981",0,981,"Adly",22996,"Beverly Hills, California, United States","Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software","Adly, a digital marketing software and services company, helps brands generate leads and drive sales.","$1M to $10M","1/1/2009","3","11-50",3,7500000,"5","Private","NA","NA",NA,2,"NA","5/23/2013","2000000","Venture - Series Unknown","NA","NA"
"982",0,982,"Calimmune",22999,"Pasadena, California, United States","Biotechnology, Health Care","Calimmune is a clinical-stage gene therapy company.","NA","1/1/2006","2","1-10",1,15852000,"3","Private","NA","Was Acquired",NA,1,"M&A","5/27/2015","15852000","Series B","347","363"
"983",0,983,"Floravere",23000,"Los Angeles, California, United States","Sales and Marketing","Direct to consumer bridal dresses","NA","1/1/2016","2","1-10",2,1100000,"5","Private","NA","NA",NA,NA,"Seed","11/1/2018","NA","Seed","0","1"
"984",0,984,"StyleHaul",23031,"Los Angeles, California, United States","Advertising, Clothing and Apparel, Consumer Goods, Design, Media and Entertainment, Sales and Marketing, Video","A global marketing services and media company that connects brands to social creators through content programs, events and media solutions.","NA","1/1/2011","2","51-100",3,16900000,"8","Private","NA","Was Acquired",1,3,"M&A","5/14/2013","6000000","Series B","NA","NA"
"985",0,985,"Fluxergy",23038,"Irvine, California, United States","Biotechnology, Health Care, Science and Engineering","Fluxergy applies modular diagnostic technologies to provide accurate answers at the point-of-use.","Less than $1M","1/1/2013","2","51-100",1,4500000,"NA","Private","NA","NA",NA,NA,"NA","4/1/2015","4500000","Venture - Series Unknown","8","2"
"986",0,986,"ChimpChange Mobile Banking",23069,"Los Angeles, California, United States","Financial Services, Lending and Investments","Mobile Banking with two key value propositions. ChimpChange is more useful than your traditional bank, without the hidden fees.","Less than $1M","1/1/2012","1","11-50",3,19500000,"1","Public","2016-07-01","NA",NA,NA,"IPO","5/17/2017","7500000","Post-IPO Equity","0","1"
"987",0,987,"Linear B",23087,"Santa Monica, California, United States","Artificial Intelligence, Data and Analytics, Information Technology, Mobile, Sales and Marketing, Software","Productivity Analytics for Software Development Organizations.","NA","4/1/2018","2","1-10",1,1600000,"1","Private","NA","NA",NA,1,"Seed","1/15/2019","1600000","Seed","NA","NA"
"988",0,988,"Indose",23106,"Woodland Hills, California, United States","Community and Lifestyle, Food and Beverage, Health Care","Indose is a technology company in the cannabis industry with the first medicinal device that measures dosage.","NA","4/1/2017","2","11-50",2,4500000,"1","Private","NA","NA",NA,1,"Early Stage Venture","5/1/2019","3500000","Series A","24","4"
"989",0,989,"United Dwelling",23107,"Los Angeles, California, United States","Commerce and Shopping, Internet Services, Real Estate","Marketplace, Sharing Economy, Peer to Peer","NA","4/1/2018","1","11-50",1,2200000,"NA","Private","NA","NA",NA,NA,"Seed","3/5/2019","2200000","Seed","NA","NA"
"990",0,990,"Optima Curis Inc",23142,"Los Angeles, California, United States","Health Care, Information Technology, Internet Services, Messaging and Telecommunications","The one platform to engage and empower consumers on their health and wellness journey","NA","1/18/2016","2","NA",3,4400000,"NA","Private","NA","NA",NA,NA,"Seed","7/17/2019","3000000","Seed","1","3"
"991",0,991,"Wiredrive",23150,"Los Angeles, California, United States","Financial Services, Internet Services, Media and Entertainment, Software, Video","Wiredrive is a secure media sharing and collaboration service for marketing teams, agencies, and production companies.","NA","1/1/2000","3","51-100",1,5e+06,"1","Private","NA","Was Acquired",NA,1,"M&A","5/19/2015","5000000","Debt Financing","0","4"
"992",0,992,"Nix Hydra",23193,"Los Angeles, California, United States","Apps, Gaming, Mobile, Software","Nix Hydra makes magical, colorful, and friendly mobile games that are popular with young women.","Less than $1M","1/1/2012","3","11-50",2,5615000,"2","Private","NA","NA",NA,1,"Early Stage Venture","5/29/2014","5000000","Series A","0","6"
"993",0,993,"H2scan",23209,"Valencia, California, United States","Consumer Electronics, Hardware, Manufacturing, Sales and Marketing","H2scan provides analyzers for hydrogen monitoring and leak detection.","$1M to $10M","1/1/2002","1","51-100",9,33204871,"10","Private","NA","NA",NA,2,"Late Stage Venture","1/15/2020","10500000","Series E","10","6"
"994",0,994,"Rosa Labs",23269,"Los Angeles, California, United States","Food and Beverage, Health Care","Rosa Labs strives to create innovative nutritional products.","$1M to $10M","1/1/2013","4","11-50",2,21500000,"NA","Private","NA","NA",NA,NA,"Early Stage Venture","1/14/2015","20000000","Series A","NA","NA"
"995",0,995,"Tesloop",23286,"Playa Vista, California, United States","Transportation","Tesloop offers city-to-city shared-car transportation services through its fleet of Tesla's electric vehicles.","Less than $1M","5/1/2015","2","1-10",4,2165656,"3","Private","NA","NA",1,2,"NA","9/10/2018","2000000","Venture - Series Unknown","1","1"
"996",0,996,"PopBase",23295,"Burbank, California, United States","Gaming, Health Care, Software","a content distribution platform that empowers healthcare experts to improve patient compliance through a gamified, educational experience.","NA","1/1/2017","3","11-50",2,1370000,"5","Private","NA","NA",6,NA,"Seed","7/10/2019","650000","Convertible Note","3","1"
"997",0,997,"AqueSys",23308,"Irvine, California, United States","Health Care","AqueSys is developing a proprietary surgical device for the treatment of glaucoma.","NA","1/1/2006","1","11-50",5,101499000,"6","Private","NA","Was Acquired",NA,1,"M&A","1/16/2014","43600000","Series D","63","9"
"998",0,998,"Numecent",23315,"Irvine, California, United States","Hardware, Information Technology, Software","Numecent develops a 'cloudpaging' technology that transmits pre-virtualized native software instructions in a transient manner.","$1M to $10M","1/1/2012","2","11-50",3,31100000,"4","Private","NA","Made Acquisitions",5,2,"Late Stage Venture","11/17/2015","15500000","Series C","52","4"
"999",0,999,"Energy Efficient Equity",23316,"Los Angeles, California, United States","Energy, Natural Resources, Real Estate, Sustainability","Property Assessed Clean Energy (PACE)","$1M to $10M","5/1/2015","2","101-250",1,7.5e+07,"1","Private","NA","NA",NA,1,"Early Stage Venture","3/30/2016","75000000","Series A","0","4"
"1000",0,1000,"Elixxir",23348,"Los Angeles, California, United States","Financial Services, Information Technology, Internet Services, Messaging and Telecommunications, Payments, Software","Fullstack Blockchain Platform - Speed, Privacy, Scalability, Security","NA","1/1/2017","1","11-50",2,9e+06,"1","Private","NA","NA",3,1,"Seed","10/24/2018","8500000","Seed","NA","NA"
"1001",0,1001,"K1 Speed",23410,"Irvine, California, United States","Gaming, Internet Services, Media and Entertainment, Sports","K1 Speed is an entertainment platform indoor go kart racing.","$10M to $50M","1/1/2003","2","251-500",1,6600000,"1","Private","NA","NA",NA,NA,"NA","10/4/2011","6600000","Debt Financing","0","11"
"1002",0,1002,"Ace Metrix",23416,"El Segundo, California, United States","Advertising, Data and Analytics, Media and Entertainment, Sales and Marketing, Video","Ace Metrix offers LIVE™, a platform enabling companies to access timely, actionable data with real-time advertising campaign optimization.","$1M to $10M","1/1/2007","2","11-50",6,24980307,"5","Private","NA","NA",1,3,"Late Stage Venture","8/8/2014","4044493","Series C","2","6"
"1003",0,1003,"AdGreetz",23417,"Los Angeles, California, United States","Advertising, Data and Analytics, Information Technology, Mobile, Sales and Marketing, Software","AdGreetz's platform empowers brands to increase revenue by producing and deploying millions of personalized video and display messages.","$1M to $10M","2/1/2010","1","11-50",1,10500000,"8","Private","NA","NA",NA,NA,"Seed","12/31/2011","10500000","Angel","0","3"
"1004",0,1004,"Future State Brands",23422,"Los Angeles, California, United States","Commerce and Shopping, Consumer Goods","Future State Brands is a consumer goods and marketing holding company.","NA","1/1/2014","1","NA",1,2.5e+07,"1","Private","NA","NA",NA,1,"Private Equity","9/19/2019","25000000","Private Equity","0","16"
"1005",0,1005,"Curisium",23433,"Manhattan Beach, California, United States","Health Care","Innovative Healthcare Contracting","$1M to $10M","9/1/2017","3","1-10",1,3500000,"5","Private","NA","NA",NA,2,"Seed","12/14/2017","3500000","Seed","NA","NA"
"1006",0,1006,"Estify",23473,"Los Angeles, California, United States","Financial Services, Software, Transportation","Estify provides software for the automotive collision industry.","NA","1/1/2012","3","51-100",6,8774000,"5","Private","NA","NA",NA,3,"Early Stage Venture","9/26/2016","6300000","Series A","0","1"
"1007",0,1007,"Sinemia",23497,"Los Angeles, California, United States","Events, Internet Services, Media and Entertainment","Sinemia is a social platform for moviegoers and a monthly subscription-based service.","$1M to $10M","11/3/2015","1","11-50",7,1925000,"6","Private","NA","NA",1,1,"Seed","10/30/2018","NA","Seed","0","2"
"1008",0,1008,"WebJoint",23506,"Los Angeles, California, United States","Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care, Information Technology, Internet Services, Sales and Marketing, Software","WebJoint is an all-in-one software that helps cannabis business owners manage their patients, finances, employees, inventory, and website. ","$1M to $10M","1/1/2014","2","11-50",2,1555000,"1","Private","NA","NA",1,1,"Early Stage Venture","11/13/2017","1500000","Series A","NA","NA"
"1009",0,1009,"Xencor",23519,"Monrovia, California, United States","Biotechnology, Health Care, Science and Engineering","Xencor develops superior monoclonal antibody therapeutics to treat autoimmune disorders, asthma, allergic diseases and cancer.","$10M to $50M","1/1/1997","NA","51-100",7,108397653,"7","Public","2013-12-03","NA",NA,2,"IPO","7/1/2013","7597653","Venture - Series Unknown","222","20"
"1010",0,1010,"Shimmur",23690,"Los Angeles, California, United States","Community and Lifestyle, Hardware, Internet Services, Media and Entertainment","Shimmur is an app that solves communication and engagement problems.","NA","1/1/2014","3","1-10",3,1e+05,"6","Private","NA","NA",NA,1,"Seed","3/1/2017","100000","Convertible Note","0","5"
"1011",0,1011,"Passionflix",23796,"Playa Vista, California, United States","Content and Publishing, Media and Entertainment, Video","Passionflix, a streaming service that’s all about romance","Less than $1M","1/1/2016","2","NA",2,5472118,"6","Private","NA","NA",NA,NA,"Seed","11/2/2017","4750000","Seed","0","32"
"1012",0,1012,"eatOS by POSLABS",23800,"West Hollywood, California, United States","Apps, Commerce and Shopping, Data and Analytics, Food and Beverage, Information Technology, Mobile, Software","World's first all-in-one restaurant management platform.","NA","1/1/2016","2","11-50",5,1670000,"3","Private","NA","NA",1,2,"Seed","11/19/2019","1000000","Seed","NA","NA"
"1013",0,1013,"CarLabs",23806,"Calabasas, California, United States","Artificial Intelligence, Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software, Transportation","CarLabs is a new startup developing conversational ""bots"" to guide users through car shopping.","$1M to $10M","1/1/2015","2","11-50",2,4690775,"3","Private","NA","NA",NA,NA,"NA","6/8/2018","4690775","Venture - Series Unknown","1","1"
"1014",0,1014,"Solid Commerce",23845,"Marina Del Rey, California, United States","Commerce and Shopping, Community and Lifestyle, Software","Robust Multi-channel selling software","$1M to $10M","1/1/2008","1","51-100",4,1250000,"4","Private","NA","NA",NA,3,"NA","3/27/2018","NA","Debt Financing","NA","NA"
"1015",0,1015,"NetObjex",23872,"Irvine, California, United States","Data and Analytics, Financial Services, Information Technology, Payments, Real Estate, Software","NetObjex provides a Decentralized Digital Asset Management Platform as a Service using IoT and Distributed Ledger technologies.","$1M to $10M","10/14/2015","5","51-100",6,620814,"3","Private","NA","Made Acquisitions",5,NA,"NA","2/14/2019","25119","Equity Crowdfunding","0","4"
"1016",0,1016,"Mullen Technologies",23890,"Brea, California, United States","Manufacturing, Transportation","Mullen Technologies is a pre-IPO car manufacturer and distributor","$1M to $10M","1/1/2014","NA","NA",1,3076840,"NA","Private","NA","NA",NA,NA,"NA","1/20/2016","3076840","Venture - Series Unknown","1","0"
"1017",0,1017,"SPARE CS, INC",23965,"West Hollywood, California, United States","Commerce and Shopping, Financial Services, Lending and Investments, Mobile, Payments, Platforms, Sales and Marketing, Software","Turns any cash register into an ATM","$1M to $10M","10/1/2013","5","1-10",4,465000,"2","Private","NA","NA",NA,NA,"Seed","12/1/2018","100000","Convertible Note","0","1"
"1018",0,1018,"Popdog",23992,"Santa Monica, California, United States","Information Technology","Popdog is a technology and services company focused on fixing core problems in the esports and live streaming industry.","NA","1/1/2016","4","NA",1,9e+06,"2","Private","NA","NA",NA,1,"Early Stage Venture","12/19/2018","9000000","Series A","0","3"
"1019",0,1019,"Vertos Medical",24004,"Aliso Viejo, California, United States","Biotechnology, Health Care, Science and Engineering","Vertos Medical develops and markets medical devices that are used for the treatment of common spinal diseases.","NA","1/1/2005","2","51-100",11,106241437,"10","Private","NA","NA",NA,5,"NA","6/12/2017","28000000","Venture - Series Unknown","23","5"
"1020",0,1020,"4th & Heart",24066,"Los Angeles, California, United States","Food and Beverage","4th & Heart is an artisan producer of organic ghee, or clarified butter.","NA","1/1/2014","1","NA",3,10600000,"7","Private","NA","NA",NA,1,"Late Stage Venture","7/3/2019","7600000","Series C","0","9"
"1021",0,1021,"Seed&Spark",24067,"Los Angeles, California, United States","Content and Publishing, Financial Services, Media and Entertainment, Video","Seed&Spark is an entertainment platform for conscious consumers actively increasing diversity and representation in entertainment.","$1M to $10M","5/1/2012","1","11-50",7,4e+06,"16","Private","NA","NA",NA,NA,"Seed","5/27/2018","2000000","Seed","0","3"
"1022",0,1022,"Vertical Mass",24101,"West Hollywood, California, United States","Data and Analytics, Media and Entertainment, Music and Audio, Sports","Premium DMP and Marketplace for Music, Entertainment & Sports Data","Less than $1M","1/1/2013","3","11-50",5,8e+06,"16","Private","NA","NA",NA,1,"NA","6/20/2017","NA","Venture - Series Unknown","NA","NA"
"1023",0,1023,"Maverick",24117,"West Hollywood, California, United States","Events, Internet Services, Media and Entertainment","Maverick is a digital creator network for a new generation of innovators, artists, and entrepreneurs.","NA","9/1/2017","2","11-50",2,3395000,"6","Private","NA","NA",NA,NA,"Seed","5/4/2018","695000","Seed","0","1"
"1024",0,1024,"Rich Uncles",24123,"Costa Mesa, California, United States","Financial Services, Real Estate","Real Estate Investing for Everyone","NA","1/1/2006","3","11-50",4,7650000,"3","Private","NA","NA",NA,NA,"NA","4/17/2017","450000","Venture - Series Unknown","0","2"
"1025",0,1025,"Three Day Rule",24140,"Los Angeles, California, United States","Community and Lifestyle, Internet Services, Software","A leading tech-enabled, personalized matchmaking company. Curated matches. Zero Work. Expert Advice.","NA","1/1/2013","1","11-50",4,2795000,"3","Private","NA","NA",NA,1,"Early Stage Venture","3/22/2016","1200000","Series A","NA","NA"
"1026",0,1026,"Airmule",24148,"Los Angeles, California, United States","Commerce and Shopping, Transportation, Travel and Tourism","Airmule is an ""On-Demand Shipping Platform"" that allows users to connect and sell their unused luggage space with express shipping demand.","$1M to $10M","10/1/2015","2","11-50",2,1200000,"2","Private","NA","NA",1,NA,"Seed","12/1/2016","1050000","Seed","NA","NA"
"1027",0,1027,"SoleSociety",24172,"Culver City, California, United States","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design","Sole Society is born on the web brand of women's shoes, handbags and accessories.","NA","12/1/2011","1","11-50",1,8e+06,"2","Private","NA","Was Acquired",NA,2,"M&A","6/1/2015","8000000","Series B","NA","NA"
"1028",0,1028,"Avision",24181,"Santa Monica, California, United States","Hardware, Science and Engineering, Software, Transportation","Avision provides an airspace and flight management system to the global drone industry.","$1M to $10M","1/1/2015","2","11-50",3,1e+06,"1","Private","NA","NA",2,1,"Seed","5/1/2018","600000","Convertible Note","NA","NA"
"1029",0,1029,"Bruin Biometrics",24186,"Los Angeles, California, United States","Hardware, Health Care, Information Technology, Mobile","A pioneer in biometric-sensor based medical devices; committed to earlier diagnosis and targeted intervention for chronic conditions","Less than $1M","1/1/2009","1","11-50",2,1.9e+07,"NA","Private","NA","NA",NA,NA,"Early Stage Venture","1/8/2016","9000000","Series A","33","5"
"1030",0,1030,"Cramster",24194,"Pasadena, California, United States","Education, Internet Services, Software","Cramster offers online homework and textbook help for college and high school students in areas such as math, science and business.","NA","1/1/2002","3","51-100",2,9e+06,"2","Private","NA","Was Acquired",NA,2,"M&A","4/14/2010","6000000","Series B","NA","NA"
"1031",0,1031,"Polymail",24213,"Marina Del Rey, California, United States","Apps, Information Technology, Internet Services, Messaging and Telecommunications, Software","Polymail is an email platform that helps teams collaborate, be more productive, and work better, together.","$1M to $10M","10/1/2015","3","1-10",3,820000,"9","Private","NA","NA",1,NA,"Seed","10/1/2017","NA","Seed","0","1"
"1032",0,1032,"Wana Family Network",24225,"Los Angeles, California, United States","Commerce and Shopping, Health Care, Mobile","Online marketplace for family-to-family babysitting exchange","NA","8/21/2017","1","11-50",1,1e+05,"NA","Private","NA","Made Acquisitions",NA,NA,"Seed","4/25/2019","100000","Pre-Seed","NA","NA"
"1033",0,1033,"Spinlister",24229,"Los Angeles, California, United States","NA","Spinlister is a global online hub for renting bikes from individuals or bike rental shops.","NA","5/31/2011","3","1-10",3,2275000,"NA","Private","NA","Made Acquisitions",3,NA,"Seed","11/5/2015","1600000","Seed","0","2"
"1034",0,1034,"Netki",24250,"Canoga Park, California, United States","Consumer Electronics, Hardware, Privacy and Security","The leading provider of tools to foster the adoption of blockchain technology.","NA","7/14/2014","2","1-10",2,3500000,"12","Private","NA","NA",11,1,"Seed","5/3/2018","NA","Convertible Note","0","2"
"1035",0,1035,"Foundation AI",24286,"Marina Del Rey, California, United States","Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","We help organizations process, manage, and leverage unstructured data to streamline manual processes and make better data-driven decisions.","NA","1/5/2018","4","11-50",1,1500000,"2","Private","NA","NA",NA,NA,"Seed","9/8/2018","1500000","Pre-Seed","NA","NA"
"1036",0,1036,"Homelister",24298,"Santa Monica, California, United States","Commerce and Shopping, Real Estate","Gives you all the tools you need to sell your home and save money! Get all the tools of a pro, for a fraction of the price.","Less than $1M","1/1/2015","1","1-10",1,2e+06,"3","Private","NA","NA",NA,1,"Seed","3/28/2019","2000000","Seed","NA","NA"
